datetime,전력,생산량,기온,풍속,습도,강수량_증분,전기요금(계절),인건비,is_missing
2021.01.01 00:00:00,62.0,0.0,-3.2,2.4,71.0,0.0,109.8,1.5,false
2021.01.01 00:15:00,61.0,0.0,-3.2,2.4,71.0,0.0,109.8,1.5,false
2021.01.01 00:30:00,61.0,0.0,-3.2,2.4,71.0,0.0,109.8,1.5,false
2021.01.01 00:45:00,61.0,0.0,-3.2,2.4,71.0,0.0,109.8,1.5,false
2021.01.01 01:00:00,96.0,0.0,-4.5,1.5,77.0,0.0,109.8,1.5,false
2021.01.01 01:15:00,93.0,0.0,-4.5,1.5,77.0,0.0,109.8,1.5,false
2021.01.01 01:30:00,116.0,0.0,-4.5,1.5,77.0,0.0,109.8,1.5,false
2021.01.01 01:45:00,113.0,0.0,-4.5,1.5,77.0,0.0,109.8,1.5,false
2021.01.01 02:00:00,106.0,0.0,-3.9,2.6,58.0,0.0,109.8,1.5,false
2021.01.01 02:15:00,96.0,0.0,-3.9,2.6,58.0,0.0,109.8,1.5,false
2021.01.01 02:30:00,106.0,0.0,-3.9,2.6,58.0,0.0,109.8,1.5,false
2021.01.01 02:45:00,107.0,0.0,-3.9,2.6,58.0,0.0,109.8,1.5,false
2021.01.01 03:00:00,92.0,0.0,-4.1,2.6,56.0,0.0,109.8,1.5,false
2021.01.01 03:15:00,110.0,0.0,-4.1,2.6,56.0,0.0,109.8,1.5,false
2021.01.01 03:30:00,110.0,0.0,-4.1,2.6,56.0,0.0,109.8,1.5,false
2021.01.01 03:45:00,109.0,0.0,-4.1,2.6,56.0,0.0,109.8,1.5,false
2021.01.01 04:00:00,108.0,0.0,-4.6,2.6,60.0,0.0,109.8,1.5,false
2021.01.01 04:15:00,105.0,0.0,-4.6,2.6,60.0,0.0,109.8,1.5,false
2021.01.01 04:30:00,106.0,0.0,-4.6,2.6,60.0,0.0,109.8,1.5,false
2021.01.01 04:45:00,108.0,0.0,-4.6,2.6,60.0,0.0,109.8,1.5,false
2021.01.01 05:00:00,89.0,0.0,-5.5,2.1,66.0,0.0,109.8,1.5,false
2021.01.01 05:15:00,83.0,0.0,-5.5,2.1,66.0,0.0,109.8,1.5,false
