날짜,시간,15분,30분,45분,60분,평균,생산량,기온,풍속,습도,강수량,전기요금(계절),day,d,m,공장인원,인건비
20210101,0,62,61,61,61,61,0,-3.2,2.4,71,0,109.8,5,1,1,0,1.5
20210101,1,96,93,116,113,105,0,-4.5,1.5,77,0,109.8,5,1,1,0,1.5
20210101,2,106,96,106,107,104,0,-3.9,2.6,58,0,109.8,5,1,1,0,1.5
20210101,3,92,110,110,109,105,0,-4.1,2.6,56,0,109.8,5,1,1,0,1.5
20210101,4,108,105,106,108,107,0,-4.6,2.6,60,0,109.8,5,1,1,0,1.5
20210101,5,89,83,99,98,92,0,-5.5,2.1,66,0,109.8,5,1,1,0,1.5
20210101,6,102,111,110,103,107,0,-5.6,1.5,67,0,109.8,5,1,1,0,1.5
20210101,7,92,75,48,29,61,0,-6.8,0.6,73,0,109.8,5,1,1,0,1.5
20210101,8,27,25,22,22,24,0,-5.6,0,72,0,109.8,5,1,1,0,1.5
20210101,9,22,22,22,22,22,0,-3.3,1.2,62,0,109.8,5,1,1,0,1
20210101,10,22,22,22,22,22,0,-1.2,2.1,54,0,109.8,5,1,1,0,1
20210101,11,22,23,28,27,25,0,-0.1,3.5,50,0,109.8,5,1,1,0,1
20210101,12,22,23,22,22,22,0,1.5,2.8,45,0,109.8,5,1,1,0,1
20210101,13,22,23,22,22,22,0,2.6,3.5,44,0,109.8,5,1,1,0,1
20210101,14,22,23,22,23,23,0,2.6,3.3,43,0,109.8,5,1,1,0,1
20210101,15,28,26,23,22,25,0,3.5,3,42,0,109.8,5,1,1,0,1
20210101,16,23,23,22,23,23,0,3,3.1,43,0,109.8,5,1,1,0,1
20210101,17,22,22,22,23,22,0,2.2,1.6,50,0,109.8,5,1,1,0,1
20210101,18,22,23,27,27,25,0,1.1,1.2,55,0,109.8,5,1,1,0,1.5
20210101,19,22,22,22,22,22,0,1.3,1.1,55,0,109.8,5,1,1,0,1.5
20210101,20,22,22,22,22,22,0,1.2,1.8,57,0,109.8,5,1,1,0,1.5
20210101,21,23,22,22,27,24,0,0.9,1.6,59,0,109.8,5,1,1,0,1.5
20210101,22,26,22,22,22,23,0,-0.2,1.8,63,0,109.8,5,1,1,0,1.5
20210101,23,22,22,22,22,22,0,0,1.9,57,0,109.8,5,1,1,0,1.5
20210102,0,63,63,64,63,63,0,-0.7,1.1,60,0,109.8,6,2,1,0,1.5
20210102,1,96,93,116,113,105,0,-1.7,1,64,0,109.8,6,2,1,0,1.5
20210102,2,106,96,106,107,104,0,-2.5,1.7,66,0,109.8,6,2,1,0,1.5
20210102,3,92,110,110,109,105,0,-2.4,0.8,72,0,109.8,6,2,1,0,1.5
20210102,4,108,105,106,108,107,0,-1.4,1.8,74,0,109.8,6,2,1,0,1.5
20210102,5,89,83,99,98,92,0,-1.1,1.5,74,0,109.8,6,2,1,0,1.5
