date,event_id,dup_size,is_copy,copy_kind,copy_of,is_suspect,is_operating,is_holiday,daytype,n_missing,anomaly,f1,f2,f3,f4,test
2021.01.01,E000,1,true,edited,2021.01.02,false,false,true,wk,0,false,train,train,train,train,train
2021.01.02,E001,7,false,"","",false,false,false,sat,0,false,train,train,train,train,train
2021.01.03,E002,2,false,"","",false,false,false,sun,0,false,train,train,train,train,train
2021.01.04,E003,4,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.05,E004,15,false,"","",false,false,false,wk,0,false,train,train,train,train,train
2021.01.06,E004,15,true,exact,2021.01.05,false,false,false,wk,0,false,train,train,train,train,train
2021.01.07,E005,2,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.08,E006,4,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.09,E007,1,true,edited,2021.02.09,false,true,false,sat,0,false,train,train,train,train,train
2021.01.10,E008,1,true,edited,2021.02.10,false,false,false,sun,0,false,train,train,train,train,train
2021.01.11,E009,4,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.12,E004,15,true,exact,2021.01.05,false,false,false,wk,0,false,train,train,train,train,train
2021.01.13,E004,15,true,exact,2021.01.05,false,false,false,wk,0,false,train,train,train,train,train
2021.01.14,E010,3,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.15,E011,4,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.16,E012,1,true,edited,2021.02.16,false,true,false,sat,0,false,train,train,train,train,train
2021.01.17,E013,4,false,"","",false,true,false,sun,0,false,train,train,train,train,train
2021.01.18,E014,4,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.19,E004,15,true,exact,2021.01.05,false,false,false,wk,0,false,train,train,train,train,train
2021.01.20,E004,15,true,exact,2021.01.05,false,false,false,wk,0,false,train,train,train,train,train
2021.01.21,E015,2,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.22,E016,4,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.23,E017,4,false,"","",false,true,false,sat,0,false,train,train,train,train,train
2021.01.24,E018,4,true,exact,2021.02.24,false,false,false,sun,0,false,train,train,train,train,train
2021.01.25,E019,4,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.26,E004,15,true,exact,2021.01.05,false,false,false,wk,0,false,train,train,train,train,train
2021.01.27,E004,15,true,exact,2021.01.05,false,false,false,wk,0,false,train,train,train,train,train
2021.01.28,E020,2,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.29,E021,3,false,"","",false,true,false,wk,0,false,train,train,train,train,train
2021.01.30,E022,3,false,"","",false,true,false,sat,0,false,train,train,train,train,train
2021.01.31,E004,15,true,exact,2021.01.05,false,false,false,sun,0,false,train,train,train,train,train
2021.02.01,E023,3,false,"","",false,true,false,wk,0,false,train,train,train,train,train
