fold,tau,half_life,mae_tune,n_tune,status
f1,0.1,30,21.94702042540417,7,tuned
f1,0.1,60,23.08573690341103,7,tuned
f1,0.1,120,24.01754443414251,7,tuned
f1,1.0,30,22.129290143870648,7,tuned
f1,1.0,60,23.215792029637072,7,tuned
f1,1.0,120,24.117127123433743,7,tuned
f1,10.0,30,22.818602272093887,7,tuned
f1,10.0,60,23.839191932790634,7,tuned
f1,10.0,120,24.6587351029268,7,tuned
f1,100.0,30,24.052754454601576,7,tuned
f1,100.0,60,24.919476678998898,7,tuned
f1,100.0,120,25.649186136031023,7,tuned
f1,1000.0,30,25.58504366790879,7,tuned
f1,1000.0,60,26.409731027866265,7,tuned
f1,1000.0,120,27.075752829468804,7,tuned
f2,0.1,30,16.55145520700978,7,tuned
f2,0.1,60,17.731921810958926,7,tuned
f2,0.1,120,18.103646500218492,7,tuned
f2,1.0,30,16.600190427540593,7,tuned
f2,1.0,60,17.740212817535838,7,tuned
f2,1.0,120,18.094626062387174,7,tuned
f2,10.0,30,16.863254123895768,7,tuned
f2,10.0,60,17.865382804926462,7,tuned
f2,10.0,120,18.167890388876312,7,tuned
f2,100.0,30,17.84690745378386,7,tuned
f2,100.0,60,18.49884969690855,7,tuned
f2,100.0,120,18.64400289628681,7,tuned
f2,1000.0,30,19.335333880005784,7,tuned
f2,1000.0,60,19.84084304059154,7,tuned
f2,1000.0,120,19.944547470208914,7,tuned
f3,0.1,30,14.873576879348226,7,tuned
f3,0.1,60,17.373830327093224,7,tuned
f3,0.1,120,18.78141367239308,7,tuned
f3,1.0,30,14.924616541754544,7,tuned
f3,1.0,60,17.418931704418966,7,tuned
f3,1.0,120,18.804557888250667,7,tuned
f3,10.0,30,15.354299945950624,7,tuned
f3,10.0,60,17.631571568419254,7,tuned
f3,10.0,120,18.963075438351254,7,tuned
f3,100.0,30,16.639422186346614,7,tuned
f3,100.0,60,18.389508452605376,7,tuned
f3,100.0,120,19.476639935273788,7,tuned
f3,1000.0,30,18.46829091069626,7,tuned
f3,1000.0,60,19.86435633927196,7,tuned
f3,1000.0,120,20.75193428563312,7,tuned
f4,0.1,30,5.9442113271733446,7,tuned
f4,0.1,60,6.164749582963902,7,tuned
f4,0.1,120,6.490115308009685,7,tuned
f4,1.0,30,5.934160089116419,7,tuned
f4,1.0,60,6.164663680388101,7,tuned
f4,1.0,120,6.490265202117537,7,tuned
f4,10.0,30,5.925712099011096,7,tuned
f4,10.0,60,6.163417260044876,7,tuned
f4,10.0,120,6.489246921963975,7,tuned
f4,100.0,30,6.024561283313052,7,tuned
f4,100.0,60,6.194569540422823,7,tuned
f4,100.0,120,6.505422941298503,7,tuned
f4,1000.0,30,6.352353643060169,7,tuned
f4,1000.0,60,6.440669474223145,7,tuned
f4,1000.0,120,6.669127915304958,7,tuned
test,0.1,30,10.599340542930051,7,tuned
test,0.1,60,10.605591433536647,7,tuned
test,0.1,120,11.31994263188659,7,tuned
test,1.0,30,10.693881317428756,7,tuned
test,1.0,60,10.68744893138538,7,tuned
test,1.0,120,11.370577191296125,7,tuned
test,10.0,30,11.231288851387546,7,tuned
test,10.0,60,11.14521748244068,7,tuned
test,10.0,120,11.747750863764677,7,tuned
test,100.0,30,12.189454993300247,7,tuned
test,100.0,60,12.20174113377117,7,tuned
test,100.0,120,12.734697394353795,7,tuned
test,1000.0,30,13.545935811851958,7,tuned
test,1000.0,60,13.776101354921556,7,tuned
test,1000.0,120,14.372613146622584,7,tuned
