comparison,metric,delta,ci_lo,ci_hi,dm_stat,dm_p,dm_method,n_days,n_valid_days,n_obs,lag1_correlation,serial_correlation,block7_ci_lo,block7_ci_hi,block7_status,exploratory
B4-B1,mae,-2.947237666391931,-6.415235402894325,0.25315570852447844,-1.7530891540194644,0.0795867049601866,"DM-like normal, nonrobust variance",53,53,5016,0.5001518748703255,true,-9.743419719930197,2.3734882354900977,ok,true
B4-B1,crps,-2.168209301516665,-4.824893851295429,0.20042514319839053,-1.7237911489675195,0.08474555303460073,"DM-like normal, nonrobust variance",53,53,5016,0.542882069909015,true,-7.294040310414595,1.8105687651386155,ok,true
B4-B1,brier_mean,0.0028902839502397055,-0.06632047507852026,0.06905387308802438,0.08477489920035908,0.9324403492233782,"DM-like normal, nonrobust variance",53,51,51,-0.03890562073433122,false,NaN,NaN,not_indicated,true
AWstar-main,mae,0.11472922668487458,-0.2344745771616451,0.43346209893601056,0.6664150389537876,0.5051458525191509,"DM-like normal, nonrobust variance",53,53,5016,0.1808829270446495,false,NaN,NaN,not_indicated,true
AWstar-main,brier_mean,-0.010097999546473441,-0.042217403332146644,0.018280057975472358,-0.6521083010829222,0.5143313093761069,"DM-like normal, nonrobust variance",53,51,51,0.261269160025236,false,NaN,NaN,not_indicated,true
B4-H-B1,mae,-0.6697088539040097,-1.8355507572434786,0.43469637529645666,-1.1414128983752685,0.2536981396493616,"DM-like normal, nonrobust variance",53,53,5016,0.4272700137599506,true,-2.488398963515567,0.9827993631900185,ok,true
B4-H-B1,crps,0.20714578384065818,-0.868679278369951,1.2447858881608727,0.3818021422241374,0.7026081296685631,"DM-like normal, nonrobust variance",53,53,5016,0.584267159637043,true,-1.3005439159958376,1.9380362162658042,ok,true
B4-H-B1,brier_mean,-0.006475579427819411,-0.051833038011559786,0.04184176729236208,-0.2720187888278092,0.7856075724932201,"DM-like normal, nonrobust variance",53,51,51,0.056830890810743655,false,NaN,NaN,not_indicated,true
B4-IO-B1,mae,-2.090376659786742,-5.44231521039929,1.1061822771854417,-1.2650925830240687,0.20583814136188705,"DM-like normal, nonrobust variance",53,53,5016,0.5744004942491908,true,-8.897544537976202,3.235253510810814,ok,true
B4-IO-B1,crps,-1.3219625401381538,-3.8715281685644323,1.073295522215758,-1.0511237383671295,0.29320176278478527,"DM-like normal, nonrobust variance",53,53,5016,0.5930062955862093,true,-6.515336573637608,2.730356486313465,ok,true
B4-IO-B1,brier_mean,0.04172173194129662,-0.04752343776843674,0.1276717541262747,0.9575289136968697,0.33830035974533934,"DM-like normal, nonrobust variance",53,51,51,0.11014083589736101,false,NaN,NaN,not_indicated,true
B4-KAN-B1,mae,-2.522058021947207,-6.006001182339185,0.7401405765433784,-1.4730369335088092,0.14074107718205173,"DM-like normal, nonrobust variance",53,53,5016,0.5505888470721148,true,-9.518597344083133,3.026255189898214,ok,true
B4-KAN-B1,crps,-1.7495787128383173,-4.312876573449186,0.6695778102726623,-1.3577122582464238,0.17455500557977893,"DM-like normal, nonrobust variance",53,53,5016,0.5717901597156592,true,-7.024269115730206,2.559524662363271,ok,true
B4-KAN-B1,brier_mean,0.0024723164269694767,-0.07389406332586163,0.0736064998988051,0.06569011770794189,0.9476245403464989,"DM-like normal, nonrobust variance",53,51,51,0.07030310415213391,false,NaN,NaN,not_indicated,true
