model,variant,fold,threshold,n_cal,status
B4,K2,f2,C50,7,ok
B4,K2,f2,C75,7,ok
B4,K2,f2,C90,7,ok
BB,main,f3,C50,7,ok
BB,main,f3,C75,7,ok
BB,main,f3,C90,7,ok
B4,KAN,f2,C50,7,ok
B4,KAN,f2,C75,7,ok
B4,KAN,f2,C90,7,ok
B1,protoA,f4,C50,7,ok
B1,protoA,f4,C75,7,ok
B1,protoA,f4,C90,7,ok
B4,KAN,f4,C50,7,ok
B4,KAN,f4,C75,7,ok
B4,KAN,f4,C90,7,ok
B4,IO,f1,C50,7,ok
B4,IO,f1,C75,7,ok
B4,IO,f1,C90,7,ok
B4,main,f4,C50,7,ok
B4,main,f4,C75,7,ok
B4,main,f4,C90,7,ok
B4,suspect,f3,C50,7,ok
B4,suspect,f3,C75,7,ok
B4,suspect,f3,C90,7,ok
BB,main,f1,C50,7,ok
BB,main,f1,C75,7,ok
BB,main,f1,C90,7,ok
B4,suspect,f4,C50,7,ok
B4,suspect,f4,C75,7,ok
B4,suspect,f4,C90,7,ok
B3,main,f1,C50,7,ok
B3,main,f1,C75,7,ok
B3,main,f1,C90,7,ok
B4,main,f1,C50,7,ok
B4,main,f1,C75,7,ok
B4,main,f1,C90,7,ok
B0,main,f4,C50,7,ok
B0,main,f4,C75,7,ok
B0,main,f4,C90,7,ok
B4,K2,f4,C50,7,ok
B4,K2,f4,C75,7,ok
B4,K2,f4,C90,7,ok
B1,suspect,f4,C50,7,ok
B1,suspect,f4,C75,7,ok
B1,suspect,f4,C90,7,ok
B1,copies,f2,C50,7,ok
B1,copies,f2,C75,7,ok
B1,copies,f2,C90,7,ok
B4,IO,f2,C50,7,ok
B4,IO,f2,C75,7,ok
B4,IO,f2,C90,7,ok
B1,main,f3,C50,7,ok
B1,main,f3,C75,7,ok
B1,main,f3,C90,7,ok
B4,re,f1,C50,7,ok
B4,re,f1,C75,7,ok
B4,re,f1,C90,7,ok
B4,suspect,f2,C50,7,ok
B4,suspect,f2,C75,7,ok
B4,suspect,f2,C90,7,ok
B4,copies,f1,C50,7,ok
B4,copies,f1,C75,7,ok
B4,copies,f1,C90,7,ok
B4,protoA,f3,C50,7,ok
B4,protoA,f3,C75,7,ok
B4,protoA,f3,C90,7,ok
BB,main,f4,C50,7,ok
BB,main,f4,C75,7,ok
BB,main,f4,C90,7,ok
B4,K2,f3,C50,7,ok
B4,K2,f3,C75,7,ok
B4,K2,f3,C90,7,ok
B1,protoA,f1,C50,7,ok
B1,protoA,f1,C75,7,ok
B1,protoA,f1,C90,7,ok
B2,main,f1,C50,7,ok
B2,main,f1,C75,7,ok
B2,main,f1,C90,7,ok
B1,main,f2,C50,7,ok
B1,main,f2,C75,7,ok
B1,main,f2,C90,7,ok
B0p,main,f4,C50,7,ok
B0p,main,f4,C75,7,ok
B0p,main,f4,C90,7,ok
B4,H,f2,C50,7,ok
B4,H,f2,C75,7,ok
B4,H,f2,C90,7,ok
B1,AWstar,f1,C50,7,ok
B1,AWstar,f1,C75,7,ok
B1,AWstar,f1,C90,7,ok
B4,re,f3,C50,7,ok
B4,re,f3,C75,7,ok
B4,re,f3,C90,7,ok
BB,main,f2,C50,7,ok
BB,main,f2,C75,7,ok
BB,main,f2,C90,7,ok
B2,main,f3,C50,7,ok
B2,main,f3,C75,7,ok
B2,main,f3,C90,7,ok
B3,main,f3,C50,7,ok
B3,main,f3,C75,7,ok
B3,main,f3,C90,7,ok
B0p,main,f2,C50,7,ok
B0p,main,f2,C75,7,ok
B0p,main,f2,C90,7,ok
B1,main,f1,C50,7,ok
B1,main,f1,C75,7,ok
B1,main,f1,C90,7,ok
B3,main,f4,C50,7,ok
B3,main,f4,C75,7,ok
B3,main,f4,C90,7,ok
B4,protoA,f1,C50,7,ok
B4,protoA,f1,C75,7,ok
B4,protoA,f1,C90,7,ok
B4,suspect,f1,C50,7,ok
B4,suspect,f1,C75,7,ok
B4,suspect,f1,C90,7,ok
B4,IO,f4,C50,7,ok
B4,IO,f4,C75,7,ok
B4,IO,f4,C90,7,ok
B4,KAN,f3,C50,7,ok
B4,KAN,f3,C75,7,ok
B4,KAN,f3,C90,7,ok
B2,main,f4,C50,7,ok
B2,main,f4,C75,7,ok
B2,main,f4,C90,7,ok
B2,main,f2,C50,7,ok
B2,main,f2,C75,7,ok
B2,main,f2,C90,7,ok
B3,main,f2,C50,7,ok
B3,main,f2,C75,7,ok
B3,main,f2,C90,7,ok
B0,main,f2,C50,7,ok
B0,main,f2,C75,7,ok
B0,main,f2,C90,7,ok
B4,main,f2,C50,7,ok
B4,main,f2,C75,7,ok
B4,main,f2,C90,7,ok
B1,protoA,f2,C50,7,ok
B1,protoA,f2,C75,7,ok
B1,protoA,f2,C90,7,ok
B4,copies,f3,C50,7,ok
B4,copies,f3,C75,7,ok
B4,copies,f3,C90,7,ok
B4,re,f2,C50,7,ok
B4,re,f2,C75,7,ok
B4,re,f2,C90,7,ok
B0,main,f3,C50,7,ok
B0,main,f3,C75,7,ok
B0,main,f3,C90,7,ok
B4,H,f1,C50,7,ok
B4,H,f1,C75,7,ok
B4,H,f1,C90,7,ok
B1,protoA,f3,C50,7,ok
B1,protoA,f3,C75,7,ok
B1,protoA,f3,C90,7,ok
B1,AWstar,f2,C50,7,ok
B1,AWstar,f2,C75,7,ok
B1,AWstar,f2,C90,7,ok
B4,K2,f1,C50,7,ok
B4,K2,f1,C75,7,ok
B4,K2,f1,C90,7,ok
B4,copies,f2,C50,7,ok
B4,copies,f2,C75,7,ok
B4,copies,f2,C90,7,ok
B4,B,f2,C50,7,ok
B4,B,f2,C75,7,ok
B4,B,f2,C90,7,ok
B1,main,f4,C50,7,ok
B1,main,f4,C75,7,ok
B1,main,f4,C90,7,ok
B0p,main,f1,C50,7,ok
B0p,main,f1,C75,7,ok
B0p,main,f1,C90,7,ok
B4,protoA,f2,C50,7,ok
B4,protoA,f2,C75,7,ok
B4,protoA,f2,C90,7,ok
B4,IO,f3,C50,7,ok
B4,IO,f3,C75,7,ok
B4,IO,f3,C90,7,ok
B4,H,f3,C50,7,ok
B4,H,f3,C75,7,ok
B4,H,f3,C90,7,ok
B4,main,f3,C50,7,ok
B4,main,f3,C75,7,ok
B4,main,f3,C90,7,ok
B4,B,f3,C50,7,ok
B4,B,f3,C75,7,ok
B4,B,f3,C90,7,ok
B4,protoA,f4,C50,7,ok
B4,protoA,f4,C75,7,ok
B4,protoA,f4,C90,7,ok
B4,B,f4,C50,7,ok
B4,B,f4,C75,7,ok
B4,B,f4,C90,7,ok
B4,re,f4,C50,7,ok
B4,re,f4,C75,7,ok
B4,re,f4,C90,7,ok
B1,suspect,f3,C50,7,ok
B1,suspect,f3,C75,7,ok
B1,suspect,f3,C90,7,ok
B4,KAN,f1,C50,7,ok
B4,KAN,f1,C75,7,ok
B4,KAN,f1,C90,7,ok
B0,main,f1,C50,7,ok
B0,main,f1,C75,7,ok
B0,main,f1,C90,7,ok
B4,H,f4,C50,7,ok
B4,H,f4,C75,7,ok
B4,H,f4,C90,7,ok
B1,AWstar,f4,C50,7,ok
B1,AWstar,f4,C75,7,ok
B1,AWstar,f4,C90,7,ok
B0p,main,f3,C50,7,ok
B0p,main,f3,C75,7,ok
B0p,main,f3,C90,7,ok
B1,AWstar,f3,C50,7,ok
B1,AWstar,f3,C75,7,ok
B1,AWstar,f3,C90,7,ok
B1,copies,f1,C50,7,ok
B1,copies,f1,C75,7,ok
B1,copies,f1,C90,7,ok
B1,copies,f4,C50,7,ok
B1,copies,f4,C75,7,ok
B1,copies,f4,C90,7,ok
B4,copies,f4,C50,7,ok
B4,copies,f4,C75,7,ok
B4,copies,f4,C90,7,ok
B1,suspect,f1,C50,7,ok
B1,suspect,f1,C75,7,ok
B1,suspect,f1,C90,7,ok
B1,copies,f3,C50,7,ok
B1,copies,f3,C75,7,ok
B1,copies,f3,C90,7,ok
B1,suspect,f2,C50,7,ok
