model,variant,condition,bin,n,mae,rmse
B1,main,daytype,sat,742,6.216881877185068,10.911995432154965
B1,main,daytype,sun,722,3.2068573871838004,4.971170093616375
B1,main,daytype,wk,3552,17.68370409378722,26.369315755170742
B1,main,holiday_adjacent,next_nonop,646,5.834595641539788,11.116034417328022
B1,main,holiday_adjacent,other,2930,13.534442974129107,20.532662195477343
B1,main,holiday_adjacent,prev_nonop,1440,18.274810853414753,29.5916779691238
B1,main,hour,0,208,8.971772960483678,14.167623181855598
B1,main,hour,1,208,12.243340644013161,19.978867069486526
B1,main,hour,10,208,15.788742179824768,25.756936663196882
B1,main,hour,11,210,17.527446216372816,27.3010073966596
B1,main,hour,12,212,12.467357047761869,20.446118296898963
B1,main,hour,13,212,15.358427100204958,25.844104511523316
B1,main,hour,14,212,15.402531920234804,25.304063817377756
B1,main,hour,15,212,15.75505857946934,24.59040922653853
B1,main,hour,16,212,15.31241407467129,23.76122468917917
B1,main,hour,17,210,14.065898980921709,23.059073562075938
B1,main,hour,18,208,14.092725604360583,21.84712072952521
B1,main,hour,19,208,13.194089952092764,20.347507448376142
B1,main,hour,2,208,13.543497112114583,22.004665950324366
B1,main,hour,20,208,12.400875019044333,20.275291539655026
B1,main,hour,21,208,11.583194285878431,19.80645911813272
B1,main,hour,22,208,10.515547950003448,18.149460198287752
B1,main,hour,23,208,10.108948205434967,16.688889145789283
B1,main,hour,3,208,12.91575793783252,21.19504590738736
B1,main,hour,4,208,13.367905611787972,21.774733500017746
B1,main,hour,5,208,11.844685589327868,18.599786244080157
B1,main,hour,6,208,13.68110570484544,22.432706149238893
B1,main,hour,7,208,17.288763637051044,23.788500710610645
B1,main,hour,8,208,18.651825144215476,30.222624393235456
B1,main,hour,9,208,17.477821629870796,29.022162429646112
B1,main,operating,0,1394,6.5073042662838265,8.552438892124023
B1,main,operating,1,3622,16.750307062493256,26.135616383775776
B1,main,production,0,2148,8.16157795051412,13.730170670347377
B1,main,production,q1,696,16.838821792231276,25.11843092179538
B1,main,production,q2,696,14.385882211001999,23.028348756218243
B1,main,production,q3,652,20.32890742116332,30.43567747185916
B1,main,production,q4,824,20.901557360433326,30.348253899237296
B1,main,temperature,q2,196,11.223964501993859,19.485871881035123
B1,main,temperature,q3,2152,14.788197039857838,23.86504666691693
B1,main,temperature,q4,2668,13.387067936801111,21.86893698423604
B4,main,daytype,sat,742,5.693108814424582,7.25544994158937
B4,main,daytype,sun,722,1.6699288565036001,2.1851887983073683
B4,main,daytype,wk,3552,13.943545838465562,19.7165149464566
B4,main,holiday_adjacent,next_nonop,646,6.071770146904346,7.65728187240509
B4,main,holiday_adjacent,other,2930,10.615218735880413,14.29667150491922
B4,main,holiday_adjacent,prev_nonop,1440,13.842010959651734,23.37141478431025
B4,main,hour,0,208,8.872111203578802,13.339119506745538
B4,main,hour,1,208,14.242707156218016,21.93225916021878
B4,main,hour,10,208,10.716847213414999,14.50871160105008
B4,main,hour,11,210,11.164026419321695,15.629149895250364
B4,main,hour,12,212,7.768803888896726,11.073773739487834
B4,main,hour,13,212,9.720819122386429,13.789742328246746
B4,main,hour,14,212,11.333123989824978,15.22545943093286
B4,main,hour,15,212,11.253222870376876,15.994308008229043
B4,main,hour,16,212,11.93727237323545,16.175085691358802
B4,main,hour,17,210,9.823043945857457,14.709234636978628
B4,main,hour,18,208,12.739758835389065,18.3625207346437
B4,main,hour,19,208,11.455098037536327,17.234512999931916
B4,main,hour,2,208,14.671476827217983,23.31838480231942
B4,main,hour,20,208,6.927638819584479,9.909343175048086
B4,main,hour,21,208,6.160077539774088,8.644221496956773
B4,main,hour,22,208,5.215569505324731,7.547231337087579
B4,main,hour,23,208,5.798499749257014,8.093810843698872
B4,main,hour,3,208,13.886909081385685,22.64710534339889
B4,main,hour,4,208,14.61085323187021,23.014828420484072
B4,main,hour,5,208,11.651053653313564,19.312026031750843
B4,main,hour,6,208,15.132586318712969,24.053875327505903
B4,main,hour,7,208,14.922309036438282,21.92076728157468
B4,main,hour,8,208,11.638287576345297,15.573242730360572
B4,main,hour,9,208,11.374360735599812,15.341416207162528
B4,main,operating,0,1394,2.1753551091149,2.6119423972232836
B4,main,operating,1,3622,14.336003636339631,19.756980942546484
B4,main,production,0,2148,8.210996355868362,17.480997483088426
B4,main,production,q1,696,10.545106443865546,13.90905906941271
B4,main,production,q2,696,10.399701008851501,13.055274989987343
B4,main,production,q3,652,14.27003120352154,17.12817540147796
B4,main,production,q4,824,16.308960787300926,19.77919258583981
B4,main,state_filt,1,1527,10.78834990980427,21.32535800039868
B4,main,state_filt,2,2351,8.91839654513594,11.469034438441016
B4,main,state_filt,3,1138,15.392345872620917,19.20275583572555
B4,main,state_filt_transition,stable,4377,10.797079462914644,16.85735037968422
B4,main,state_filt_transition,transition,587,12.516609206516454,17.265957808597438
B4,main,state_smooth,1,1621,11.027333391955574,21.095867863483036
B4,main,state_smooth,2,2293,8.746672998595539,11.364220675886136
B4,main,state_smooth,3,1102,15.450110325579635,19.18914551799279
B4,main,state_smooth_transition,stable,4479,10.967831565535848,16.964391791025037
B4,main,state_smooth_transition,transition,485,11.301337796634005,16.35884294618259
B4,main,temperature,q2,196,11.84121687071664,17.505890806478703
B4,main,temperature,q3,2152,12.325506725940562,19.31421490563681
B4,main,temperature,q4,2668,9.787136886073375,14.493838708823239
