model,variant,C,p_star_kind,date,kind,daytype,op_prev,op_next,prev_day_max,temp_mean,prod_sum,risk_cal,M_true
B4,main,C50,0.5,2021.07.07,TP,wk,1,1,193.0,23.7,19407.0,0.9996770796347746,203.0
B4,main,C50,0.5,2021.07.08,TP,wk,1,1,203.0,23.249999999999996,19519.0,0.9997549824712428,201.0
B4,main,C50,0.5,2021.07.09,TP,wk,1,1,201.0,22.8,16527.0,0.9996830355440084,192.0
B4,main,C50,0.5,2021.07.10,TN,sat,1,0,192.0,25.170833333333338,487.0,2.969214300655625e-6,106.0
B4,main,C50,0.5,2021.07.11,TN,sun,1,1,106.0,26.46666666666667,0.0,1.3825064244711463e-10,28.0
B4,main,C50,0.5,2021.07.12,TP,wk,0,1,28.0,27.495833333333337,17043.0,0.9995567873029837,198.0
B4,main,C50,0.5,2021.07.14,TP,wk,1,1,NaN,28.333333333333332,17253.0,0.999664889633672,195.0
B4,main,C50,0.5,2021.07.16,TP,wk,1,1,NaN,26.045833333333334,24412.0,0.9995645431054905,197.0
B4,main,C50,0.5,2021.07.17,TN,sat,1,0,197.0,25.70416666666667,1867.0,1.5505369033843543e-6,110.0
B4,main,C50,0.5,2021.07.18,TN,sun,1,1,110.0,26.1125,0.0,1.3825064244711463e-10,28.0
B4,main,C50,0.5,2021.07.19,TP,wk,0,1,28.0,26.524999999999995,13584.0,0.9994948346826272,222.0
B4,main,C50,0.5,2021.07.20,TP,wk,1,1,222.0,27.891666666666666,23473.0,0.9997274985209269,201.0
B4,main,C50,0.5,2021.07.21,TP,wk,1,1,201.0,26.733333333333338,19461.0,0.999983170821874,214.0
B4,main,C50,0.5,2021.07.22,TP,wk,1,1,214.0,26.8625,15801.0,0.9999863766032271,213.0
B4,main,C50,0.5,2021.07.23,TP,wk,1,1,213.0,26.429166666666664,23560.0,0.9999848340200816,206.0
B4,main,C50,0.5,2021.07.24,TN,sat,1,0,206.0,26.816666666666674,2319.0,2.164655569103837e-11,104.0
B4,main,C50,0.5,2021.07.25,TN,sun,1,1,104.0,27.099999999999998,0.0,2.164655569103837e-11,29.0
B4,main,C50,0.5,2021.07.26,TP,wk,0,1,29.0,27.412500000000005,24022.0,0.9999648208140519,217.0
B4,main,C50,0.5,2021.07.27,TP,wk,1,1,217.0,26.84166666666667,20776.0,0.9999825886476847,211.0
B4,main,C50,0.5,2021.07.28,TP,wk,1,1,211.0,26.854166666666668,24285.0,0.9999825886476847,212.0
B4,main,C50,0.5,2021.07.29,TP,wk,1,1,212.0,27.349999999999994,25698.0,0.9999837389686753,211.0
B4,main,C50,0.5,2021.07.31,TN,sat,1,0,NaN,28.175,0.0,2.164655569103837e-11,28.0
B4,main,C50,0.5,2021.08.01,TN,sun,0,0,28.0,27.912499999999994,0.0,2.164655569103837e-11,28.0
B4,main,C50,0.5,2021.08.02,TN,wk,0,0,28.0,27.916666666666668,0.0,2.164655569103837e-11,26.0
B4,main,C50,0.5,2021.08.03,TN,wk,0,0,26.0,26.95416666666667,0.0,2.164655569103837e-11,26.0
B4,main,C50,0.5,2021.08.04,TN,wk,0,0,26.0,28.479166666666668,0.0,2.1946635268104666e-9,26.0
B4,main,C50,0.5,2021.08.05,TN,wk,0,0,26.0,29.0,0.0,2.1946635268104666e-9,26.0
B4,main,C50,0.5,2021.08.06,TN,wk,0,0,26.0,28.941666666666663,0.0,2.1946635268104666e-9,27.0
