model,variant,C,p_star_kind,kind,condition,bin,n,share,n_all,share_all
B4,main,C50,0.5,all,daytype,sat,7,0.13725490196078433,7,0.13725490196078433
B4,main,C50,0.5,all,daytype,sun,7,0.13725490196078433,7,0.13725490196078433
B4,main,C50,0.5,all,daytype,wk,37,0.7254901960784313,37,0.7254901960784313
B4,main,C50,0.5,FN,daytype,sat,0,NaN,7,0.13725490196078433
B4,main,C50,0.5,FN,daytype,sun,0,NaN,7,0.13725490196078433
B4,main,C50,0.5,FN,daytype,wk,0,NaN,37,0.7254901960784313
B4,main,C50,0.5,FP,daytype,sat,0,0.0,7,0.13725490196078433
B4,main,C50,0.5,FP,daytype,sun,0,0.0,7,0.13725490196078433
B4,main,C50,0.5,FP,daytype,wk,1,1.0,37,0.7254901960784313
B4,main,C50,0.5,all,op_prev,0,15,0.29411764705882354,15,0.29411764705882354
B4,main,C50,0.5,all,op_prev,1,36,0.7058823529411765,36,0.7058823529411765
B4,main,C50,0.5,FN,op_prev,0,0,NaN,15,0.29411764705882354
B4,main,C50,0.5,FN,op_prev,1,0,NaN,36,0.7058823529411765
B4,main,C50,0.5,FP,op_prev,0,0,0.0,15,0.29411764705882354
B4,main,C50,0.5,FP,op_prev,1,1,1.0,36,0.7058823529411765
B4,main,C50,0.5,all,op_next,0,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,0.5,all,op_next,1,38,0.7450980392156863,38,0.7450980392156863
B4,main,C50,0.5,FN,op_next,0,0,NaN,13,0.2549019607843137
B4,main,C50,0.5,FN,op_next,1,0,NaN,38,0.7450980392156863
B4,main,C50,0.5,FP,op_next,0,0,0.0,13,0.2549019607843137
B4,main,C50,0.5,FP,op_next,1,1,1.0,38,0.7450980392156863
B4,main,C50,0.5,all,prev_day_max,q1,8,0.1568627450980392,8,0.1568627450980392
B4,main,C50,0.5,all,prev_day_max,q2,16,0.3137254901960784,16,0.3137254901960784
B4,main,C50,0.5,all,prev_day_max,q3,12,0.23529411764705882,12,0.23529411764705882
B4,main,C50,0.5,all,prev_day_max,q4,12,0.23529411764705882,12,0.23529411764705882
B4,main,C50,0.5,all,prev_day_max,unknown,3,0.058823529411764705,3,0.058823529411764705
B4,main,C50,0.5,FN,prev_day_max,q1,0,NaN,8,0.1568627450980392
B4,main,C50,0.5,FN,prev_day_max,q2,0,NaN,16,0.3137254901960784
B4,main,C50,0.5,FN,prev_day_max,q3,0,NaN,12,0.23529411764705882
B4,main,C50,0.5,FN,prev_day_max,q4,0,NaN,12,0.23529411764705882
B4,main,C50,0.5,FN,prev_day_max,unknown,0,NaN,3,0.058823529411764705
B4,main,C50,0.5,FP,prev_day_max,q1,0,0.0,8,0.1568627450980392
B4,main,C50,0.5,FP,prev_day_max,q2,0,0.0,16,0.3137254901960784
B4,main,C50,0.5,FP,prev_day_max,q3,1,1.0,12,0.23529411764705882
B4,main,C50,0.5,FP,prev_day_max,q4,0,0.0,12,0.23529411764705882
B4,main,C50,0.5,FP,prev_day_max,unknown,0,0.0,3,0.058823529411764705
B4,main,C50,0.5,all,temp_mean,q1,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,0.5,all,temp_mean,q2,12,0.23529411764705882,12,0.23529411764705882
B4,main,C50,0.5,all,temp_mean,q3,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,0.5,all,temp_mean,q4,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,0.5,FN,temp_mean,q1,0,NaN,13,0.2549019607843137
B4,main,C50,0.5,FN,temp_mean,q2,0,NaN,12,0.23529411764705882
B4,main,C50,0.5,FN,temp_mean,q3,0,NaN,13,0.2549019607843137
B4,main,C50,0.5,FN,temp_mean,q4,0,NaN,13,0.2549019607843137
B4,main,C50,0.5,FP,temp_mean,q1,1,1.0,13,0.2549019607843137
B4,main,C50,0.5,FP,temp_mean,q2,0,0.0,12,0.23529411764705882
B4,main,C50,0.5,FP,temp_mean,q3,0,0.0,13,0.2549019607843137
B4,main,C50,0.5,FP,temp_mean,q4,0,0.0,13,0.2549019607843137
B4,main,C50,0.5,all,prod_sum,q2,25,0.49019607843137253,25,0.49019607843137253
B4,main,C50,0.5,all,prod_sum,q3,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,0.5,all,prod_sum,q4,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,0.5,FN,prod_sum,q2,0,NaN,25,0.49019607843137253
B4,main,C50,0.5,FN,prod_sum,q3,0,NaN,13,0.2549019607843137
B4,main,C50,0.5,FN,prod_sum,q4,0,NaN,13,0.2549019607843137
B4,main,C50,0.5,FP,prod_sum,q2,0,0.0,25,0.49019607843137253
B4,main,C50,0.5,FP,prod_sum,q3,0,0.0,13,0.2549019607843137
B4,main,C50,0.5,FP,prod_sum,q4,1,1.0,13,0.2549019607843137
B4,main,C50,pstar,all,daytype,sat,7,0.13725490196078433,7,0.13725490196078433
B4,main,C50,pstar,all,daytype,sun,7,0.13725490196078433,7,0.13725490196078433
B4,main,C50,pstar,all,daytype,wk,37,0.7254901960784313,37,0.7254901960784313
B4,main,C50,pstar,FN,daytype,sat,0,0.0,7,0.13725490196078433
B4,main,C50,pstar,FN,daytype,sun,0,0.0,7,0.13725490196078433
B4,main,C50,pstar,FN,daytype,wk,1,1.0,37,0.7254901960784313
B4,main,C50,pstar,FP,daytype,sat,0,0.0,7,0.13725490196078433
B4,main,C50,pstar,FP,daytype,sun,0,0.0,7,0.13725490196078433
B4,main,C50,pstar,FP,daytype,wk,1,1.0,37,0.7254901960784313
B4,main,C50,pstar,all,op_prev,0,15,0.29411764705882354,15,0.29411764705882354
B4,main,C50,pstar,all,op_prev,1,36,0.7058823529411765,36,0.7058823529411765
B4,main,C50,pstar,FN,op_prev,0,1,1.0,15,0.29411764705882354
B4,main,C50,pstar,FN,op_prev,1,0,0.0,36,0.7058823529411765
B4,main,C50,pstar,FP,op_prev,0,0,0.0,15,0.29411764705882354
B4,main,C50,pstar,FP,op_prev,1,1,1.0,36,0.7058823529411765
B4,main,C50,pstar,all,op_next,0,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,pstar,all,op_next,1,38,0.7450980392156863,38,0.7450980392156863
B4,main,C50,pstar,FN,op_next,0,0,0.0,13,0.2549019607843137
B4,main,C50,pstar,FN,op_next,1,1,1.0,38,0.7450980392156863
B4,main,C50,pstar,FP,op_next,0,0,0.0,13,0.2549019607843137
B4,main,C50,pstar,FP,op_next,1,1,1.0,38,0.7450980392156863
B4,main,C50,pstar,all,prev_day_max,q1,8,0.1568627450980392,8,0.1568627450980392
B4,main,C50,pstar,all,prev_day_max,q2,16,0.3137254901960784,16,0.3137254901960784
B4,main,C50,pstar,all,prev_day_max,q3,12,0.23529411764705882,12,0.23529411764705882
B4,main,C50,pstar,all,prev_day_max,q4,12,0.23529411764705882,12,0.23529411764705882
B4,main,C50,pstar,all,prev_day_max,unknown,3,0.058823529411764705,3,0.058823529411764705
B4,main,C50,pstar,FN,prev_day_max,q1,0,0.0,8,0.1568627450980392
B4,main,C50,pstar,FN,prev_day_max,q2,1,1.0,16,0.3137254901960784
B4,main,C50,pstar,FN,prev_day_max,q3,0,0.0,12,0.23529411764705882
B4,main,C50,pstar,FN,prev_day_max,q4,0,0.0,12,0.23529411764705882
B4,main,C50,pstar,FN,prev_day_max,unknown,0,0.0,3,0.058823529411764705
B4,main,C50,pstar,FP,prev_day_max,q1,0,0.0,8,0.1568627450980392
B4,main,C50,pstar,FP,prev_day_max,q2,0,0.0,16,0.3137254901960784
B4,main,C50,pstar,FP,prev_day_max,q3,1,1.0,12,0.23529411764705882
B4,main,C50,pstar,FP,prev_day_max,q4,0,0.0,12,0.23529411764705882
B4,main,C50,pstar,FP,prev_day_max,unknown,0,0.0,3,0.058823529411764705
B4,main,C50,pstar,all,temp_mean,q1,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,pstar,all,temp_mean,q2,12,0.23529411764705882,12,0.23529411764705882
B4,main,C50,pstar,all,temp_mean,q3,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,pstar,all,temp_mean,q4,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,pstar,FN,temp_mean,q1,1,1.0,13,0.2549019607843137
B4,main,C50,pstar,FN,temp_mean,q2,0,0.0,12,0.23529411764705882
B4,main,C50,pstar,FN,temp_mean,q3,0,0.0,13,0.2549019607843137
B4,main,C50,pstar,FN,temp_mean,q4,0,0.0,13,0.2549019607843137
B4,main,C50,pstar,FP,temp_mean,q1,1,1.0,13,0.2549019607843137
B4,main,C50,pstar,FP,temp_mean,q2,0,0.0,12,0.23529411764705882
B4,main,C50,pstar,FP,temp_mean,q3,0,0.0,13,0.2549019607843137
B4,main,C50,pstar,FP,temp_mean,q4,0,0.0,13,0.2549019607843137
B4,main,C50,pstar,all,prod_sum,q2,25,0.49019607843137253,25,0.49019607843137253
B4,main,C50,pstar,all,prod_sum,q3,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,pstar,all,prod_sum,q4,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,pstar,FN,prod_sum,q2,1,1.0,25,0.49019607843137253
B4,main,C50,pstar,FN,prod_sum,q3,0,0.0,13,0.2549019607843137
B4,main,C50,pstar,FN,prod_sum,q4,0,0.0,13,0.2549019607843137
B4,main,C50,pstar,FP,prod_sum,q2,0,0.0,25,0.49019607843137253
B4,main,C50,pstar,FP,prod_sum,q3,0,0.0,13,0.2549019607843137
