op,daytype,hour,from_state,p_to_high
0,wk,0,1,0.025975864380598068
0,wk,0,2,0.04057658463716507
0,wk,0,3,0.6943064332008362
0,wk,1,1,0.01840226538479328
0,wk,1,2,0.12200106680393219
0,wk,1,3,0.8188447952270508
0,wk,2,1,0.014131652191281319
0,wk,2,2,0.15021710097789764
0,wk,2,3,0.8224977850914001
0,wk,3,1,0.015701036900281906
0,wk,3,2,0.07000328600406647
0,wk,3,3,0.8190085291862488
0,wk,4,1,0.029831169173121452
0,wk,4,2,0.014633162878453732
0,wk,4,3,0.8181889653205872
0,wk,5,1,0.07311733067035675
0,wk,5,2,0.002665744163095951
0,wk,5,3,0.6876639127731323
0,wk,6,1,0.1436619758605957
0,wk,6,2,0.0010623758425936103
0,wk,6,3,0.41806167364120483
0,wk,7,1,0.16133737564086914
0,wk,7,2,0.0016125808469951153
0,wk,7,3,0.2945411503314972
0,wk,8,1,0.08777489513158798
0,wk,8,2,0.006792541593313217
0,wk,8,3,0.38190263509750366
0,wk,9,1,0.024056853726506233
0,wk,9,2,0.04060961306095123
0,wk,9,3,0.5838050842285156
0,wk,10,1,0.005484146531671286
0,wk,10,2,0.19087329506874084
0,wk,10,3,0.6161744594573975
0,wk,11,1,0.001976690022274852
0,wk,11,2,0.37613850831985474
0,wk,11,3,0.4878852963447571
0,wk,12,1,0.0016584780532866716
0,wk,12,2,0.3551639914512634
0,wk,12,3,0.4162638187408447
0,wk,13,1,0.003226120490580797
0,wk,13,2,0.20174825191497803
0,wk,13,3,0.4018697142601013
0,wk,14,1,0.010012791492044926
0,wk,14,2,0.08589955419301987
0,wk,14,3,0.2963716983795166
0,wk,15,1,0.031951069831848145
0,wk,15,2,0.036155521869659424
0,wk,15,3,0.19007985293865204
0,wk,16,1,0.07380791008472443
0,wk,16,2,0.017073553055524826
0,wk,16,3,0.18906603753566742
0,wk,17,1,0.10179978609085083
0,wk,17,2,0.01163208857178688
0,wk,17,3,0.2826825976371765
0,wk,18,1,0.09384214878082275
0,wk,18,2,0.009096482768654823
0,wk,18,3,0.4194658696651459
0,wk,19,1,0.07638867944478989
0,wk,19,2,0.005021573510020971
0,wk,19,3,0.49073663353919983
0,wk,20,1,0.06858541071414948
0,wk,20,2,0.0024021535646170378
0,wk,20,3,0.4541032910346985
0,wk,21,1,0.06965401768684387
0,wk,21,2,0.00170905829872936
0,wk,21,3,0.37011221051216125
0,wk,22,1,0.06549259275197983
0,wk,22,2,0.002703092759475112
0,wk,22,3,0.3465368151664734
0,wk,23,1,0.044046297669410706
0,wk,23,2,0.009062046185135841
0,wk,23,3,0.4653288424015045
0,sat,0,1,0.4265592694282532
0,sat,0,2,0.0059181926771998405
0,sat,0,3,0.9086120128631592
0,sat,1,1,0.29972583055496216
0,sat,1,2,0.018081646412611008
0,sat,1,3,0.9408953189849854
0,sat,2,1,0.22530394792556763
0,sat,2,2,0.02210545539855957
0,sat,2,3,0.9347671270370483
0,sat,3,1,0.2407551407814026
0,sat,3,2,0.009552672505378723
0,sat,3,3,0.9329711198806763
0,sat,4,1,0.3748919367790222
0,sat,4,2,0.001887695980258286
