fold,variant,model,date,usable_peak,n_obs,M_true,M_hat_median,M_hat_mean,peak_slot_true,peak_time_mode,C50,C75,C90,risk_raw_C50,risk_raw_C75,risk_raw_C90,risk_platt_C50,risk_platt_C75,risk_platt_C90,event_C50,event_C75,event_C90,calibration_status_platt_C50,calibration_status_platt_C75,calibration_status_platt_C90,n_cal_platt_C50,n_cal_platt_C75,n_cal_platt_C90,isotonic_status
f1,main,B0,2021.06.20,true,96,28.0,25.0,25.0,60,11,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.06.27,true,96,31.0,28.0,28.0,49,60,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.01,true,96,206.0,172.0,172.0,55,41,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.02,true,96,187.0,206.0,206.0,36,55,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.03,true,96,112.0,187.0,187.0,16,36,181.0,189.5,198.0,1.0,0.0,0.0,0.666698260943415,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.04,true,96,28.0,31.0,31.0,33,49,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.05,true,96,185.0,187.0,187.0,43,36,181.0,189.5,198.0,1.0,0.0,0.0,0.666698260943415,0.16699021850734097,0.16699021850734097,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.06.20,true,96,28.0,25.0,25.0,60,11,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.06.27,true,96,31.0,28.0,28.0,49,60,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.01,true,96,206.0,172.0,172.0,55,41,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.02,true,96,187.0,206.0,206.0,36,55,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.03,true,96,112.0,187.0,187.0,16,36,181.0,189.5,198.0,1.0,0.0,0.0,0.666698260943415,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.04,true,96,28.0,31.0,31.0,33,49,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0p,2021.07.05,true,96,185.0,187.0,187.0,43,36,181.0,189.5,198.0,1.0,0.0,0.0,0.666698260943415,0.16699021850734097,0.16699021850734097,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BB,2021.06.20,true,96,28.0,22.918267178919017,22.918267178919017,60,24,181.0,189.5,198.0,0.0,0.0,0.0,0.42857201746383533,0.14286081088273403,0.14286081088273403,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BB,2021.06.27,true,96,31.0,22.918267178919017,22.918267178919017,49,24,181.0,189.5,198.0,0.0,0.0,0.0,0.42857201746383533,0.14286081088273403,0.14286081088273403,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BB,2021.07.01,true,96,206.0,153.339657882623,153.339657882623,55,35,181.0,189.5,198.0,0.0,0.0,0.0,0.42857201746383533,0.14286081088273403,0.14286081088273403,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,BB,2021.07.02,true,96,187.0,153.339657882623,153.339657882623,36,35,181.0,189.5,198.0,0.0,0.0,0.0,0.42857201746383533,0.14286081088273403,0.14286081088273403,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BB,2021.07.03,true,96,112.0,106.92456435607914,106.92456435607914,16,7,181.0,189.5,198.0,0.0,0.0,0.0,0.42857201746383533,0.14286081088273403,0.14286081088273403,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BB,2021.07.04,true,96,28.0,22.918267178919017,22.918267178919017,33,24,181.0,189.5,198.0,0.0,0.0,0.0,0.42857201746383533,0.14286081088273403,0.14286081088273403,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BB,2021.07.05,true,96,185.0,153.339657882623,153.339657882623,43,35,181.0,189.5,198.0,0.0,0.0,0.0,0.42857201746383533,0.14286081088273403,0.14286081088273403,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B1,2021.06.20,true,96,28.0,108.02002718972709,116.37917782321301,60,25,181.0,189.5,198.0,0.14536204953264653,0.061104667407077026,0.0019007923406452417,0.02650528437307834,0.02650528437307834,0.02650528437307834,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B1,2021.06.27,true,96,31.0,133.37972115545523,132.13733279906697,49,27,181.0,189.5,198.0,0.0897580466740467,0.050050315402157944,0.01613237843100305,0.00018785827887283647,0.00018785827887283647,0.00018785827887283647,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B1,2021.07.01,true,96,206.0,144.44252065902396,128.85816651916426,55,35,181.0,189.5,198.0,0.3081476715476214,0.061104667407077026,0.0019007923406452417,0.9944236705872953,0.1595687929383081,0.1595687929383081,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,B1,2021.07.02,true,96,187.0,138.79828614777261,146.50058274346816,36,35,181.0,189.5,198.0,0.2671357071357591,0.0638611818014651,0.03417494477011385,0.9662446156413045,0.16555812733624398,0.01939986161411593,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B1,2021.07.03,true,96,112.0,120.34299280319917,118.77736246901252,16,8,181.0,189.5,198.0,0.08734509147318059,0.02329790229921332,0.0009929707130378197,0.000142996509856981,0.000142996509856981,0.000142996509856981,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B1,2021.07.04,true,96,28.0,132.94242722020434,127.22270543171781,33,48,181.0,189.5,198.0,0.05554444684145238,0.018945105124856636,0.008485312038066963,1.6790077165987328e-6,1.6790077165987328e-6,1.6790077165987328e-6,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B1,2021.07.05,true,96,185.0,167.39666687674526,153.79975841789255,43,46,181.0,189.5,198.0,0.41766893835632213,0.10781575164905882,0.05661591849251761,0.9999275565325236,0.2529634571768069,0.01179599695143331,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B2,2021.06.20,true,96,28.0,36.671897888183594,36.074801962852476,60,24,181.0,189.5,198.0,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,0.000012594751419484728,0.000012594751419484728,0.000012594751419484728,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B2,2021.06.27,true,96,31.0,36.72963333129883,36.10158219814301,49,11,181.0,189.5,198.0,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,0.000012594751419484728,0.000012594751419484728,0.000012594751419484728,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B2,2021.07.01,true,96,206.0,185.84075927734375,180.45621376800537,55,35,181.0,189.5,198.0,0.6329233704738179,0.4011271509562442,0.1221401628062061,0.9986274243272771,0.3390079954680014,0.3390079954680014,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,B2,2021.07.02,true,96,187.0,188.7891845703125,184.4922005996704,36,35,181.0,189.5,198.0,0.7166359170219112,0.46656822048886204,0.14420270445827488,0.9993668984521552,0.39946121434614235,0.39946121434614235,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B2,2021.07.03,true,96,112.0,136.66387939453125,131.72729788208008,16,7,181.0,189.5,198.0,0.00002765161182838316,9.733237233966463e-7,2.2180769443380655e-8,0.000012594751419484728,0.000012594751419484728,0.000012594751419484728,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B2,2021.07.04,true,96,28.0,36.459102630615234,35.66926325988769,33,88,181.0,189.5,198.0,2.3314683517128287e-15,2.3314683517128287e-15,2.3314683517128287e-15,0.000012594751419484728,0.000012594751419484728,0.000012594751419484728,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B2,2021.07.05,true,96,185.0,182.48963165283203,176.66911641693116,43,35,181.0,189.5,198.0,0.5190291450298412,0.31338797161089627,0.09277693760219141,0.9964671668829308,0.2608706715286005,0.25610252935513933,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B3,2021.06.20,true,96,28.0,38.26633071899414,37.04277256679535,60,24,181.0,189.5,198.0,0.0,0.0,0.0,4.2181254045504256e-11,8.488908793081315e-40,8.488908793081315e-40,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B3,2021.06.27,true,96,31.0,38.23617744445801,36.85785784626007,49,11,181.0,189.5,198.0,0.0,0.0,0.0,4.2181254045504256e-11,8.488908793081315e-40,8.488908793081315e-40,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B3,2021.07.01,true,96,206.0,191.39673614501953,190.16872960662843,55,35,181.0,189.5,198.0,0.8815159591461155,0.6057866001252892,0.1912146174411915,0.9995934021106312,0.3968056297079552,0.357250462753659,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,B3,2021.07.02,true,96,187.0,191.8156967163086,190.49520008850098,36,35,181.0,189.5,198.0,0.8854787075042406,0.6095967099805308,0.19281195969029508,0.9996388141768783,0.43665747433227003,0.37072254542866495,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B3,2021.07.03,true,96,112.0,135.8724594116211,131.337742729187,16,7,181.0,189.5,198.0,0.000030480347680050812,1.0584138671054788e-6,2.3734143095310856e-8,4.2181254045504256e-11,8.488908793081315e-40,8.488908793081315e-40,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B3,2021.07.04,true,96,28.0,28.390810012817383,30.274117798805236,33,88,181.0,189.5,198.0,0.0,0.0,0.0,4.2181254045504256e-11,8.488908793081315e-40,8.488908793081315e-40,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B3,2021.07.05,true,96,185.0,191.0525894165039,188.45460786437988,43,35,181.0,189.5,198.0,0.8534236352893302,0.5785695533488365,0.1795800948310755,0.99913585733933,0.17136588599988178,0.17136588599988178,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B4,2021.06.20,true,96,28.0,40.513214111328125,40.58674655532837,60,0,181.0,189.5,198.0,0.0,0.0,0.0,1.3825064244711463e-10,1.3825064244711463e-10,1.3825064244711463e-10,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B4,2021.06.27,true,96,31.0,40.59951400756836,40.66481095409393,49,0,181.0,189.5,198.0,0.0,0.0,0.0,1.3825064244711463e-10,1.3825064244711463e-10,1.3825064244711463e-10,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B4,2021.07.01,true,96,206.0,188.6117172241211,189.2456035003662,55,33,181.0,189.5,198.0,0.6945,0.4855,0.2835,0.9987231973689632,0.33139565690196265,0.3265379973931383,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,B4,2021.07.02,true,96,187.0,189.50135040283203,189.72316276168823,36,33,181.0,189.5,198.0,0.713,0.5,0.288,0.9990404138351081,0.3444589651854699,0.3306005644273255,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B4,2021.07.03,true,96,112.0,128.6930694580078,130.4326876335144,16,7,181.0,189.5,198.0,0.006,0.002,0.0,3.936229452878947e-6,3.936229452878947e-6,3.936229452878947e-6,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B4,2021.07.04,true,96,28.0,30.733949661254883,33.84032444000244,33,50,181.0,189.5,198.0,0.0,0.0,0.0,1.3825064244711463e-10,1.3825064244711463e-10,1.3825064244711463e-10,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B4,2021.07.05,true,96,185.0,188.23046875,189.4520335083008,43,35,181.0,189.5,198.0,0.672,0.4765,0.297,0.998215962567891,0.323405109865534,0.323405109865534,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,copies,B1,2021.06.29,true,96,222.0,191.8521616054202,185.04730695912724,33,35,181.0,189.0,198.0,0.9833895224441381,0.7352102783383272,0.55189325039593,0.999999999999223,0.6226546572398474,0.48646806852245367,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,copies,B1,2021.06.30,true,96,193.0,191.20367756999534,186.49012755123994,35,33,181.0,189.0,198.0,0.9934051613040132,0.9626803118252908,0.0011371784471368297,0.9999999999999849,0.8045334220606216,0.21266689366116942,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f1,copies,B1,2021.07.01,true,96,206.0,183.44802065484882,175.78439300760564,55,35,181.0,189.0,198.0,0.16419811740801918,0.11578652665166424,0.000653414003224865,0.978379130844725,0.32047315781139296,0.19646619290854767,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,copies,B1,2021.07.02,true,96,187.0,187.2949770142293,177.99330118228775,36,33,181.0,189.0,198.0,0.9825057230333175,0.3686057207576785,0.0025624427558998903,0.9999999999990293,0.46539431202130344,0.2381669223835273,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,copies,B1,2021.07.03,true,96,112.0,148.93720755857464,141.5950047042863,16,7,181.0,189.0,198.0,0.0010457833468891444,0.0037054915861667505,0.000025062919344066917,1.1727000710958437e-8,1.1727000710958437e-8,1.1727000710958437e-8,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,copies,B1,2021.07.04,true,96,28.0,30.56025939993049,46.1454686871304,33,74,181.0,189.0,198.0,0.026612527593829514,0.0004962880258095894,0.001731628841902189,0.010946482285306468,0.010946482285306468,0.010946482285306468,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,copies,B1,2021.07.05,true,96,185.0,194.6952214835671,185.78323455735384,43,35,181.0,189.0,198.0,0.8552373592494905,0.7735994105494434,0.46076770205849565,0.9999999870827682,0.6424313307248205,0.4700858255038038,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,copies,B4,2021.06.29,true,96,222.0,194.01915740966797,194.57380678558349,33,35,181.0,189.0,198.0,0.797,0.62,0.3995,0.999441924209522,0.5712416106755166,0.39081008468597284,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,copies,B4,2021.06.30,true,96,193.0,195.4034194946289,195.3306220855713,35,35,181.0,189.0,198.0,0.814,0.6445,0.429,0.9996217602173585,0.703254016814523,0.41135492700004367,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f1,copies,B4,2021.07.01,true,96,206.0,194.34894561767578,194.35903381347657,55,33,181.0,189.0,198.0,0.7965,0.618,0.414,0.9994357170313307,0.5598568494376231,0.400918535703194,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,copies,B4,2021.07.02,true,96,187.0,194.36480712890625,194.96362978363038,36,35,181.0,189.0,198.0,0.8045,0.6355,0.406,0.999528429166286,0.6568734543408311,0.39534448531826344,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,copies,B4,2021.07.03,true,96,112.0,130.6741180419922,131.398250415802,16,6,181.0,189.0,198.0,0.004,0.001,0.0,3.4273920242799666e-8,3.7409836311413015e-18,3.7409836311413015e-18,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,copies,B4,2021.07.04,true,96,28.0,53.18351364135742,53.53597151184082,33,35,181.0,189.0,198.0,0.0,0.0,0.0,1.6330500459505597e-12,1.9120179963070197e-21,1.9120179963070197e-21,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
