fold,lambda_io,nll_tune,n_tune,status
f1,0.0,3.5850658416748047,7,tuned
f1,0.01,3.585848808288574,7,tuned
f1,0.1,3.2291746139526367,7,tuned
f1,1.0,3.205209970474243,7,tuned
f2,0.0,3.242002487182617,7,tuned
f2,0.01,3.2339560985565186,7,tuned
f2,0.1,3.238260507583618,7,tuned
f2,1.0,3.2184200286865234,7,tuned
f3,0.0,3.36091685295105,7,tuned
f3,0.01,3.3611385822296143,7,tuned
f3,0.1,3.3630247116088867,7,tuned
f3,1.0,3.2810988426208496,7,tuned
f4,0.0,1.9494496583938599,7,tuned
f4,0.01,1.950384259223938,7,tuned
f4,0.1,1.94601309299469,7,tuned
f4,1.0,1.9465376138687134,7,tuned
