fold,M,lambda_spl,nll_tune,n_tune,status
f1,8,0.0,3.266270160675049,7,tuned
f1,8,0.01,3.2760403156280518,7,tuned
f1,8,0.1,3.283534526824951,7,tuned
f1,8,1.0,3.2874088287353516,7,tuned
f1,12,0.0,3.2931621074676514,7,tuned
f1,12,0.01,3.3099398612976074,7,tuned
f1,12,0.1,3.3186604976654053,7,tuned
f1,12,1.0,3.324627161026001,7,tuned
f1,16,0.0,3.258315324783325,7,tuned
f1,16,0.01,3.2822659015655518,7,tuned
f1,16,0.1,3.2977683544158936,7,tuned
f1,16,1.0,3.3050122261047363,7,tuned
f2,8,0.0,3.3145663738250732,7,tuned
f2,8,0.01,3.3173022270202637,7,tuned
f2,8,0.1,3.322857141494751,7,tuned
f2,8,1.0,3.3280551433563232,7,tuned
f2,12,0.0,3.328310251235962,7,tuned
f2,12,0.01,3.3292534351348877,7,tuned
f2,12,0.1,3.3351542949676514,7,tuned
f2,12,1.0,3.342944860458374,7,tuned
f2,16,0.0,3.285799264907837,7,tuned
f2,16,0.01,3.3009207248687744,7,tuned
f2,16,0.1,3.3106601238250732,7,tuned
f2,16,1.0,3.315476655960083,7,tuned
f3,8,0.0,3.264817714691162,7,tuned
f3,8,0.01,3.274151086807251,7,tuned
f3,8,0.1,3.2784786224365234,7,tuned
f3,8,1.0,3.2905495166778564,7,tuned
f3,12,0.0,3.294459819793701,7,tuned
f3,12,0.01,3.310324192047119,7,tuned
f3,12,0.1,3.3486945629119873,7,tuned
f3,12,1.0,3.354862689971924,7,tuned
f3,16,0.0,3.278536796569824,7,tuned
f3,16,0.01,3.281264066696167,7,tuned
f3,16,0.1,3.2879750728607178,7,tuned
f3,16,1.0,3.288564682006836,7,tuned
f4,8,0.0,1.9394441843032837,7,tuned
f4,8,0.01,1.9753004312515259,7,tuned
f4,8,0.1,2.033907413482666,7,tuned
f4,8,1.0,2.044829845428467,7,tuned
f4,12,0.0,2.000793933868408,7,tuned
f4,12,0.01,2.2187159061431885,7,tuned
f4,12,0.1,2.2187397480010986,7,tuned
f4,12,1.0,2.2187554836273193,7,tuned
f4,16,0.0,1.938891053199768,7,tuned
f4,16,0.01,1.9977798461914062,7,tuned
f4,16,0.1,2.027534008026123,7,tuned
f4,16,1.0,2.0316309928894043,7,tuned
