fold,start,candidate,seed,mae,crps,brier_mean,n_slots,n_days,phi_mean,pc_rate,epoch,tau,half_life,brier_C50,brier_n_C50,events_C50,calibration_C50,brier_C75,brier_n_C75,events_C75,calibration_C75,brier_C90,brier_n_C90,events_C90,calibration_C90
ar1,2021-07-01,B1,0,23.227724400277882,17.728227643780347,0.4862174520957603,1248,13,NaN,0.0,100,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B3,0,11.546887416106005,8.776208999839595,0.4862174520957603,1248,13,0.0,0.0,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B4,0,13.231232154827852,9.683439667662368,0.4862174520957603,1248,13,0.9070428609848022,0.0,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B4-low,0,12.43808031693483,9.246698618049102,0.4862174520957603,1248,13,0.5823618173599243,0.0,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B4-PC,0,12.437943779505217,9.246627883349674,0.4862174520957603,1248,13,0.5823138952255249,5.585301205481888,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B3,1,11.614983220895132,8.810830231730634,0.4862174520957603,1248,13,0.0,0.0,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B4,1,14.41116842474693,10.604200189634705,0.4862174520957603,1248,13,0.9110888242721558,0.0,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B4-low,1,12.589278746873905,9.289451812120447,0.4862174520957603,1248,13,0.3570234179496765,0.0,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B4-PC,1,12.589318551314182,9.289496848817171,0.4862174520957603,1248,13,0.3569692075252533,5.585301205481888,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B3,2,11.5672498971988,8.802320605499814,0.4862174520957603,1248,13,0.0,0.0,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B4,2,15.197464372867193,11.63497953299991,0.4862174520957603,1248,13,0.8750655055046082,0.0,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B4-low,2,12.38085775421216,9.19766102841373,0.4862174520957603,1248,13,0.5710338950157166,0.0,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar1,2021-07-01,B4-PC,2,12.380276193985573,9.19743730474555,0.4862174520957603,1248,13,0.5709355473518372,5.585301205481888,300,0.1,30,0.6909401785174212,13,9,single_class,0.5373981337011754,13,7,single_class,0.23031404406868417,13,3,single_class
ar2,2021-07-08,B1,0,14.701362699303823,10.96745786340627,0.15137412941868814,1152,12,NaN,0.0,100,0.1,60,9.464363571692071e-7,12,8,ok,0.13003434977244777,12,8,ok,0.32408709204725944,12,4,ok
ar2,2021-07-08,B3,0,12.08399903608693,9.048800151420933,0.10589713338130761,1152,12,0.0,0.0,300,0.1,60,9.394996766164298e-7,12,8,ok,0.040647555273502355,12,8,ok,0.2770429053707439,12,4,ok
ar2,2021-07-08,B4,0,13.647485346429878,9.983273169546338,0.1820659440350114,1152,12,0.8936890363693237,0.0,300,0.1,60,1.299842323109974e-6,12,8,ok,0.3335925330536864,12,8,ok,0.21260399920902462,12,4,ok
ar2,2021-07-08,B4-low,0,12.850810026129087,9.45572463522246,0.0954579201155583,1152,12,0.5822290182113647,0.0,300,0.1,60,1.264498231245085e-7,12,8,ok,0.11364755372252945,12,8,ok,0.1727260801743223,12,4,ok
ar2,2021-07-08,B4-PC,0,12.850741385585732,9.455541255646088,0.09550056112222649,1152,12,0.582183837890625,5.585301205481888,300,0.1,60,1.268417274412907e-7,12,8,ok,0.11381478531782875,12,8,ok,0.1726867712071233,12,4,ok
ar2,2021-07-08,B3,1,11.997585354579819,8.97623977733874,0.10188656129538298,1152,12,0.0,0.0,300,0.1,60,3.074960876314451e-7,12,8,ok,0.008252059752668671,12,8,ok,0.29740731663739267,12,4,ok
ar2,2021-07-08,B4,1,15.185157384309504,11.13297829260434,0.1135724469332852,1152,12,0.9128623008728027,0.0,300,0.1,60,4.980727490981412e-7,12,8,ok,0.16103838590528563,12,8,ok,0.17967845682182085,12,4,ok
ar2,2021-07-08,B4-low,1,11.046033677127626,8.572340382211925,0.06183928572823146,1152,12,0.3584105372428894,0.0,300,0.1,60,4.140979349885488e-7,12,8,ok,0.0076186961682417585,12,8,ok,0.17789874691851762,12,4,ok
