candidate,seed,n_folds,mae_mean,mae_median,mae_worst,crps_mean,brier_mean
B1,0,8,13.998628544289604,13.557809796558008,23.227724400277882,10.50734464455586,0.15875920157021017
B3,0,8,10.608604780721281,11.140506013932296,14.206154690339016,8.17199226934681,0.16477049824965342
B4,0,8,11.089874954131032,10.8830938243708,14.808219529115236,8.374276372511847,0.17489562185229532
B4-PC,0,8,10.66899225403562,11.041595738612095,13.848574064480953,8.187549756043605,0.17716694441470285
B4-low,0,8,10.669154005778745,11.041777327951287,13.848316941505823,8.187551872255469,0.17975823572984184
B3,1,8,10.489674715608235,10.61577520191482,15.121523494139696,8.068499615593336,0.16385861464039855
B4,1,8,11.810531334162105,11.649042772562623,15.185157384309504,8.9059509936314,0.15840222252041442
B4-PC,1,8,10.230449125777385,10.616215848731276,12.589318551314182,7.923245129942319,0.15993026782559322
B4-low,1,8,10.230416355893999,10.616225400844193,12.589278746873905,7.92323941099137,0.1599574193988942
B3,2,8,10.482314680677753,10.543971237963316,14.999726301584488,8.083431317760361,0.16662033563451473
B4,2,8,11.897296020891883,11.333976094098052,16.129369309315315,9.158988959717329,0.17596518682312823
B4-PC,2,8,10.425344372020376,10.50380317168603,13.753651887178421,7.984045422221346,0.17594580340994867
B4-low,2,8,10.425613585036222,10.503308304604762,13.755357292982248,7.984160066532137,0.17467534790680705
