comparison,metric,delta,ci_lo,ci_hi,dm_stat,dm_p,dm_method,n_days,n_valid_days,n_obs,lag1_correlation,serial_correlation,block7_ci_lo,block7_ci_hi,block7_status,exploratory
BAT-M2,mae,-3.814984381637604,-6.3538411322474975,-1.6153164289711475,-3.0323468230980417,0.0024266021948243168,"DM-like normal, nonrobust variance",53,53,5016,0.631925800933059,true,-8.80055573243644,-0.2941537124831068,ok,true
BAT-M2,crps,-1.9642526969162053,-3.8658114866954905,-0.3144266692312439,-2.0684086436808364,0.0386016131036584,"DM-like normal, nonrobust variance",53,53,5016,0.522201818204849,true,-5.381963537037302,0.5064531298481987,ok,true
BAT-M2,brier_mean,0.0067839043542056495,-0.045668920707700345,0.05527797678553907,0.26737911647482854,0.7891772769362223,"DM-like normal, nonrobust variance",53,51,51,-0.21410086229386754,false,NaN,NaN,not_indicated,true
M4-M2,mae,-1.4704924489615916,-4.039512207630011,0.9156931644674547,-1.1468402122069998,0.25144766632466564,"DM-like normal, nonrobust variance",53,53,5016,0.568995796718381,true,-6.211539557513072,2.185787012628459,ok,true
M4-M2,crps,-0.6707848652021338,-2.648866714501187,1.2140669419584158,-0.6805596048014868,0.49615019451208436,"DM-like normal, nonrobust variance",53,53,5016,0.5390231489816703,true,-4.100629809408724,2.0678356793692796,ok,true
M4-M2,brier_mean,0.0885304366411021,0.02416254148303546,0.15351051709820251,2.6675727319197033,0.007640135052220027,"DM-like normal, nonrobust variance",53,51,51,0.18343761309401857,false,NaN,NaN,not_indicated,true
B0-M2,mae,15.205200350542125,6.3618622708025105,25.840383129035587,3.062618675463729,0.0021940945561075955,"DM-like normal, nonrobust variance",53,53,5016,0.7258355414078884,true,1.4887714674748596,36.07217484555384,ok,true
M2-B0,mae,-15.205200350542125,-25.840383129035587,-6.361862270802511,-3.062618675463729,0.0021940945561075955,"DM-like normal, nonrobust variance",53,53,5016,0.7258355414078884,true,-36.07217484555384,-1.4887714674748609,ok,true
BAT-B0,mae,-19.02018473217973,-31.13488366324049,-8.74622857109134,-3.3263545183286065,0.0008798993841848277,"DM-like normal, nonrobust variance",53,53,5016,0.7650287911682548,true,-43.14325138543673,-2.260810799953833,ok,true
M4-B0,mae,-16.675692799503715,-29.009942850475117,-6.36795107660626,-2.9118322825384912,0.0035931550844439716,"DM-like normal, nonrobust variance",53,53,5016,0.7548603117378472,true,-40.71117557281991,0.43049275362654804,ok,true
