model,scheme,MAE,MAE_lo,MAE_hi,n_days,gap,gap_lo,gap_hi
BAT,random5,16.368633405811124,13.699660753894692,19.025193372615984,241,0.050380395296585986,-0.22000213733522664,0.4155320471450276
BAT,loeo,16.31825301051454,13.589463372765046,19.068411732151787,241,,,
BAT,loeo_singleton,12.448177882014319,8.95038489472776,16.400333914759088,81,,,
BAT,loeo_copygroup,18.25933756715293,14.832820531941692,22.012273243708645,160,,,
BAT,random5_copygroup,18.33974449284086,14.944558269118696,22.029275261794236,160,,,
M2,random5,14.91274738471915,12.615869018273804,17.1246807927123,241,-1.729146791624151,-3.632456918602381,-0.04235775755464546
M2,loeo,16.641894176343303,14.369820903258923,19.03818719081744,241,,,
M2,loeo_singleton,11.963432224282407,9.093067390509328,15.295772008847791,81,,,
M2,loeo_copygroup,18.988435249173847,15.971160901595592,21.964355795209435,160,,,
M2,random5_copygroup,16.218553645154483,13.48513941203955,19.13266776101699,160,,,
