model,scheme,date,event_id,abs_sum,n_obs,event_days,mae
BAT,loeo,2021-01-01,E000,2375.2227919495554,96,1,24.741904082807867
BAT,loeo,2021-01-02,E001,2347.7072245306604,96,7,24.455283588861047
BAT,loeo,2021-01-03,E002,133.68970692763943,96,2,1.3926011138295775
BAT,loeo,2021-01-04,E003,3730.9827582225266,96,4,38.86440373148465
BAT,loeo,2021-01-05,E004,142.4662313918176,96,15,1.4840232436647665
BAT,loeo,2021-01-06,E004,134.3273254680404,96,15,1.399242973625421
BAT,loeo,2021-01-07,E005,2702.853466755507,96,2,28.15472361203653
BAT,loeo,2021-01-08,E006,1123.0581635874128,96,4,11.698522537368882
BAT,loeo,2021-01-09,E007,4223.760302671302,96,1,43.99750315282606
BAT,loeo,2021-01-10,E008,5017.284563182549,96,1,52.26338086648489
BAT,loeo,2021-01-11,E009,3182.1148437600395,96,4,33.14702962250041
BAT,loeo,2021-01-12,E004,129.5410489558846,96,15,1.349385926623798
BAT,loeo,2021-01-13,E004,129.97367514991254,96,15,1.3538924494782556
BAT,loeo,2021-01-14,E010,2911.9480698830967,96,3,30.33279239461559
BAT,loeo,2021-01-15,E011,1102.3226726730072,96,4,11.482527840343826
BAT,loeo,2021-01-16,E012,3575.7147413382118,96,1,37.24702855560637
BAT,loeo,2021-01-17,E013,9573.873799002682,96,4,99.7278520729446
BAT,loeo,2021-01-18,E014,3308.127856839244,96,4,34.459665175408794
BAT,loeo,2021-01-19,E004,166.76731805197556,96,15,1.737159563041412
BAT,loeo,2021-01-20,E004,142.2776522900606,96,15,1.4820588780214645
BAT,loeo,2021-01-21,E015,3143.1398298162167,96,2,32.741039893918924
BAT,loeo,2021-01-22,E016,1123.0789173772403,96,4,11.698738722679586
BAT,loeo,2021-01-23,E017,7984.214890765329,96,4,83.16890511213884
BAT,loeo,2021-01-24,E018,10834.57427352748,96,4,112.86014868257791
BAT,loeo,2021-01-25,E019,3478.262988435864,96,4,36.23190612954025
BAT,loeo,2021-01-26,E004,148.26502407525635,96,15,1.5444273341172536
BAT,loeo,2021-01-27,E004,143.98258963759957,96,15,1.4998186420583288
BAT,loeo,2021-01-28,E020,3005.2683311486076,96,2,31.304878449464663
BAT,loeo,2021-01-29,E021,890.5827473681545,96,3,9.276903618418276
BAT,loeo,2021-01-30,E022,8163.379300232677,96,3,85.03520104409039
BAT,loeo,2021-01-31,E004,291.3916191325746,96,15,3.035329365964319
BAT,loeo,2021-02-01,E023,2989.3862623278746,96,3,31.13944023258203
BAT,loeo,2021-02-02,E024,783.044216074504,96,3,8.156710584109417
BAT,loeo,2021-02-03,E025,871.6766177067238,96,3,9.079964767778373
BAT,loeo,2021-02-04,E003,1364.071006041854,96,4,14.209072979602645
BAT,loeo,2021-02-05,E001,8250.726190764854,96,7,85.94506448713389
BAT,loeo,2021-02-06,E026,529.0116097311748,96,6,5.510537601366404
BAT,loeo,2021-02-07,E027,127.00439917786214,96,5,1.322962491436064
BAT,loeo,2021-02-08,E006,2900.555929646471,96,4,30.21412426715074
BAT,loeo,2021-02-09,E028,781.868056909439,96,3,8.14445892613999
BAT,loeo,2021-02-10,E029,2716.064349045272,96,3,28.292336969221584
BAT,loeo,2021-02-11,E009,10115.647626809194,96,4,105.3713294459291
BAT,loeo,2021-02-12,E026,2357.5827957455626,96,6,24.55815412234961
BAT,loeo,2021-02-13,E026,2397.7914916520444,96,6,24.976994704708797
BAT,loeo,2021-02-14,E027,116.12481698627084,96,5,1.2096335102736546
BAT,loeo,2021-02-15,E011,3266.7841914079686,96,4,34.029001993833006
BAT,loeo,2021-02-16,E030,694.3137746488737,96,3,7.232435152592434
BAT,loeo,2021-02-17,E013,751.2715111107543,96,4,7.825744907403691
BAT,loeo,2021-02-18,E014,960.5095320594032,96,4,10.005307625618784
BAT,loeo,2021-02-19,E031,8583.793234915891,96,2,89.4145128637072
BAT,loeo,2021-02-20,E026,523.8743726881964,96,6,5.457024715502047
BAT,loeo,2021-02-21,E027,117.88584404355598,96,5,1.2279775421203747
BAT,loeo,2021-02-22,E016,3560.768430392246,96,4,37.0913378165859
BAT,loeo,2021-02-23,E017,1072.6295985141844,96,4,11.173224984522754
BAT,loeo,2021-02-24,E018,981.5168147412929,96,4,10.224133486888467
BAT,loeo,2021-02-25,E019,1276.6835513455312,96,4,13.298786993182617
BAT,loeo,2021-02-26,E032,8372.890441439074,96,2,87.21760876499036
BAT,loeo,2021-02-27,E026,532.6534226319677,96,6,5.548473152416331
BAT,loeo,2021-02-28,E027,109.3828672005894,96,5,1.1394048666728063
BAT,loeo,2021-03-01,E023,10281.131243442802,96,3,107.09511711919585
BAT,loeo,2021-03-02,E024,2934.517974357589,96,3,30.567895566224887
BAT,loeo,2021-03-03,E025,942.4634489838905,96,3,9.817327593582194
BAT,loeo,2021-03-04,E003,1263.5817669106061,96,4,13.16231007198548
BAT,loeo,2021-03-05,E004,236.39777657459757,96,15,2.462476839318725
BAT,loeo,2021-03-06,E001,309.96863800696514,96,7,3.22883997923922
BAT,loeo,2021-03-07,E033,7899.809694134165,96,1,82.28968431389755
BAT,loeo,2021-03-08,E006,2771.880764300592,96,4,28.873757961464502
BAT,loeo,2021-03-09,E028,808.4906066326627,96,3,8.42177715242357
BAT,loeo,2021-03-10,E029,1146.9731130201094,96,3,11.947636593959473
BAT,loeo,2021-03-11,E009,798.8691778724065,96,4,8.3215539361709
BAT,loeo,2021-03-12,E004,232.78988225666438,96,15,2.424894606840254
BAT,loeo,2021-03-13,E001,388.71549634745986,96,7,4.049119753619373
BAT,loeo,2021-03-14,E010,8670.911212384763,96,3,90.3219917956746
BAT,loeo,2021-03-15,E011,3176.917182713441,96,4,33.09288731993168
BAT,loeo,2021-03-16,E030,660.9810434597541,96,3,6.885219202705772
BAT,loeo,2021-03-17,E013,847.9624732804923,96,4,8.832942430005128
BAT,loeo,2021-03-18,E014,771.3594933933123,96,4,8.034994722847003
BAT,loeo,2021-03-19,E004,242.98067018875005,96,15,2.5310486477994796
BAT,loeo,2021-03-20,E001,350.1056868673501,96,7,3.6469342382015633
BAT,loeo,2021-03-21,E034,8581.50617581046,96,1,89.39068933135896
BAT,loeo,2021-03-22,E016,3351.1396812502508,96,4,34.907705013023445
BAT,loeo,2021-03-23,E017,1062.9782558756458,96,4,11.072690165371311
BAT,loeo,2021-03-24,E018,1219.2618038258436,96,4,12.700643789852537
BAT,loeo,2021-03-25,E019,1225.7235088483485,96,4,12.767953217170296
BAT,loeo,2021-03-26,E004,212.25875481145664,96,15,2.2110286959526735
BAT,loeo,2021-03-27,E001,317.39667443753984,96,7,3.306215358724373
BAT,loeo,2021-03-28,E035,8532.251321339512,96,1,88.87761793061992
BAT,loeo,2021-03-29,E021,3052.693241425932,96,3,31.798887931520124
BAT,loeo,2021-03-30,E022,881.3132259898233,96,3,9.180346104060659
BAT,loeo,2021-03-31,E004,242.08790119394502,96,15,2.5217489707702607
BAT,loeo,2021-04-01,E036,3128.1106025248155,96,3,32.58448544296683
BAT,loeo,2021-04-02,E037,8257.701231609839,96,3,86.01772116260248
BAT,loeo,2021-04-03,E038,780.7609294585818,96,2,8.132926348526894
BAT,loeo,2021-04-04,E039,195.1288517748754,96,2,2.0325922059882853
BAT,loeo,2021-04-05,E036,946.1441130334358,96,3,9.85566784409829
BAT,loeo,2021-04-06,E037,819.5131740037885,96,3,8.536595562539464
BAT,loeo,2021-04-07,E040,3115.856853302511,96,2,32.456842221901155
BAT,loeo,2021-04-08,E041,1321.3451517355998,96,2,13.76401199724583
