fold,kind,param,mean,q05,median,q95
f1,1,sigma,1.6566608710401356,0.9422814045596904,1.5525442582082196,2.7511473191350175
f1,1,beta,2.124142854789333,1.1331797485712163,2.0044719479045914,3.4402452312489142
f1,1,c_hours,0.31241347116045826,-1.19662794241112,0.2859539187938802,1.861694664133405
f1,2,sigma,1.6662037226589477,0.8681686779516854,1.4939498383084022,3.5064250085545665
f1,2,beta,2.3069627749261588,1.1039920500931013,2.336634773504849,3.1855217368544224
f1,2,c_hours,0.1999302771044592,-0.47398079067246346,0.04376275659409859,1.2182944733826775
f1,3,sigma,2.7217223349224398,1.2459209558234001,2.6083541018445464,5.244846291338979
f1,3,beta,0.5833487809052533,0.4385387109257499,0.5744960324926061,0.7128587038380941
f1,3,c_hours,-2.415160390909087,-2.819874403198806,-2.408998002296105,-2.082895012397698
f2,1,sigma,2.014702775020841,0.9808295354482951,1.965702155491099,3.203773865792034
f2,1,beta,1.5839293802822192,0.6500311519899067,1.5364424561098526,2.712342715453026
f2,1,c_hours,-0.509404711927616,-1.2432303634590531,-0.5438930568419669,0.2883641552633498
f2,2,sigma,3.2106857570427763,2.203877550436591,3.121132226468519,5.139514637688314
f2,2,beta,2.1163866386985317,1.2315926223248306,2.0606048148810827,2.6724685368192977
f2,2,c_hours,-0.4635303642269321,-0.5956486678824582,-0.4322371888792016,-0.3002129960281415
f2,3,sigma,7.79649375047124,5.3876220747159245,7.52980347908386,11.548538122612499
f2,3,beta,0.4713670285396144,0.3324618641191217,0.4740289823041528,0.6182944278213794
f2,3,c_hours,-2.801759268053756,-3.5844976870047605,-2.6350809494719956,-1.9184056702062766
f3,1,sigma,1.8860401102271211,0.7820718336169388,1.7469109527600564,3.3610855732739813
f3,1,beta,2.550099223614561,1.126376238904101,2.400458494212976,4.408743784837448
f3,1,c_hours,-0.3674676487669208,-1.0943250232984016,-0.544433658576522,1.1508736306094731
f3,2,sigma,2.538665755640036,2.025590194936808,2.5661807571127007,3.552743844705817
f3,2,beta,1.781154905870375,1.5790279206827524,1.6440821273980804,2.4769689356415765
f3,2,c_hours,-0.536445856470486,-0.6621967859274572,-0.5077394021505235,-0.41393149967139753
f3,3,sigma,8.467119236380622,5.334435774100606,7.350517968015511,15.136368680636782
f3,3,beta,0.42134081035528537,0.34157024064025576,0.4118064296952068,0.5162960512490402
f3,3,c_hours,-2.0823488773646512,-2.5182803150176656,-2.219308986178876,-1.480918786004065
f4,1,sigma,1.9426585550007545,1.1548417938108702,1.8517950526257851,2.9263413755109444
f4,1,beta,3.0395867869458373,1.118550678672559,3.054896779501626,5.4493514546543445
f4,1,c_hours,-0.891950630593283,-1.2125490922175457,-0.9087406842782819,-0.4518209706844789
f4,2,sigma,1.5404016688701265,1.412027601190079,1.438472470540344,1.9392343396943148
f4,2,beta,1.176248602321369,0.96746106398644,1.1914486061518756,1.3263277908367894
f4,2,c_hours,-0.07401916735732612,-0.19603034736949732,-0.05280977149309542,-0.017127675544363615
f4,3,sigma,12.795829504042764,8.518419103723046,12.217485492968256,18.435504024500105
f4,3,beta,0.7681636148780608,0.401626375400359,0.7176211206613302,1.5900457890423074
f4,3,c_hours,0.2527010054494175,-0.10451165653269133,0.226769911194177,0.6468041851121421
all,1,sigma,1.875015577822213,0.9133332897113099,1.7807410144117037,3.0338049931064246
all,1,beta,2.3244395614079876,0.943539526861183,2.101640896612553,4.305917292872711
all,1,c_hours,-0.3641023800318404,-1.19526341175587,-0.5974045861214237,1.484783311086221
all,2,sigma,2.2389892260529716,1.1026789475621337,2.0572365242174238,3.954600365969358
all,2,beta,1.8451882304541087,0.96746106398644,1.732966235233849,2.97799091001398
all,2,c_hours,-0.2185162777375713,-0.6331365319352251,-0.34143410054663553,0.5651606280505292
all,3,sigma,7.945291206454267,1.4421819034388528,7.350517968015511,14.642648049083933
all,3,beta,0.5610550586695535,0.3537044679733603,0.48130019866540896,1.099070752228489
all,3,c_hours,-1.7616418827195193,-3.4035807721715305,-2.2975943553616314,0.49370563061367667
