model,variant,condition,bin,n,mae,rmse,mae_minus_M2
B0,main,hour,00,208,12.711538461538462,22.775872861767223,5.04064944413849
BAT,main,hour,00,208,5.3826441572775865,9.198035515590671,-2.2882448601223855
M2,main,hour,00,208,7.670889017399972,11.399660577985939,0.0
B0,main,hour,01,208,19.48076923076923,36.36725069450429,10.054726458105787
BAT,main,hour,01,208,5.705013069198437,11.496382397090368,-3.721029703465006
M2,main,hour,01,208,9.426042772663443,14.387712943651781,0.0
B0,main,hour,02,208,20.51923076923077,38.62591796270399,9.717113914979626
BAT,main,hour,02,208,5.844194858689122,12.095373923605788,-4.957921995562022
M2,main,hour,02,208,10.802116854251144,16.690441456173268,0.0
B0,main,hour,03,208,20.26923076923077,37.50602515699208,9.884547568069562
BAT,main,hour,03,208,6.0007469034789755,11.628172514698942,-4.383936297682232
M2,main,hour,03,208,10.384683201161208,15.677164107124572,0.0
B0,main,hour,04,208,20.302884615384617,38.097231375278945,9.659366971608952
BAT,main,hour,04,208,5.462733665354464,11.646779589000777,-5.180783978421201
M2,main,hour,04,208,10.643517643775665,16.227610845857004,0.0
B0,main,hour,05,208,17.057692307692307,31.15099702071533,7.54477005187249
BAT,main,hour,05,208,5.719865930231392,11.6825985729854,-3.7930563255884246
M2,main,hour,05,208,9.512922255819817,13.542086325152146,0.0
B0,main,hour,06,208,21.129807692307693,39.00610159370533,10.022902678128812
BAT,main,hour,06,208,6.667903682887395,14.1399289961203,-4.439001331291486
M2,main,hour,06,208,11.106905014178881,17.142491268175952,0.0
B0,main,hour,07,208,26.807692307692307,47.94237326046922,12.979020420172699
BAT,main,hour,07,208,8.07288725932929,13.189145590243625,-5.755784628190318
M2,main,hour,07,208,13.828671887519608,19.09043719609337,0.0
B0,main,hour,08,208,38.00961538461539,73.18482923918884,21.64044537670878
BAT,main,hour,08,208,9.699323660133757,13.408828419204376,-6.66984634777285
M2,main,hour,08,208,16.369170007906607,23.565720187454307,0.0
B0,main,hour,09,208,36.43269230769231,70.27945591050718,21.78045756237599
BAT,main,hour,09,208,9.410531427256618,13.317304455256275,-5.241703318059699
M2,main,hour,09,208,14.652234745316317,20.750491667254245,0.0
B0,main,hour,10,208,35.75480769230769,68.71222738572584,22.58589710742759
BAT,main,hour,10,208,9.581484066296296,13.77825278259171,-3.587426518583806
M2,main,hour,10,208,13.168910584880102,19.564016808278026,0.0
B0,main,hour,11,210,37.838095238095235,72.79573509223633,23.11787025863436
BAT,main,hour,11,210,10.681700653121814,15.41259523355208,-4.038524326339063
M2,main,hour,11,210,14.720224979460877,21.41657951263162,0.0
B0,main,hour,12,212,22.504716981132077,40.31029411106739,11.468100483254366
BAT,main,hour,12,212,7.336252083044861,10.127281681319678,-3.7003644148328503
M2,main,hour,12,212,11.036616497877711,16.825690617492107,0.0
B0,main,hour,13,212,34.528301886792455,67.36965052099316,21.698105234784087
BAT,main,hour,13,212,8.053796350956572,11.530042005245402,-4.7764003010517975
M2,main,hour,13,212,12.83019665200837,19.59314904123187,0.0
B0,main,hour,14,212,35.533018867924525,69.06399138234322,22.80709402548298
BAT,main,hour,14,212,9.436857421025316,13.517067262372253,-3.289067421416231
M2,main,hour,14,212,12.725924842441547,19.40865534604855,0.0
B0,main,hour,15,212,32.89150943396226,60.746496133133725,20.13383324058714
BAT,main,hour,15,212,9.688873140350047,14.30989759594196,-3.068803053025075
M2,main,hour,15,212,12.757676193375122,18.570537220685026,0.0
B0,main,hour,16,212,36.2688679245283,66.01089818541544,21.90940465880886
BAT,main,hour,16,212,10.161169367774411,14.716595675613243,-4.198293897945032
M2,main,hour,16,212,14.359463265719443,21.266108485203105,0.0
B0,main,hour,17,210,28.69047619047619,52.756267964326376,16.704122169885864
BAT,main,hour,17,210,8.61342998066666,13.54890507108241,-3.3729240399236673
M2,main,hour,17,210,11.986354020590328,18.899555033221446,0.0
B0,main,hour,18,208,32.43269230769231,62.26332109553869,19.01024599693693
BAT,main,hour,18,208,10.37293117940635,16.338537968544188,-3.049515131349027
M2,main,hour,18,208,13.422446310755378,20.902122926789104,0.0
B0,main,hour,19,208,29.70673076923077,55.79051649491364,17.44964928172852
BAT,main,hour,19,208,11.013485878615434,17.038184004522606,-1.2435956088868156
M2,main,hour,19,208,12.25708148750225,18.290323957335307,0.0
B0,main,hour,20,208,23.576923076923077,42.93812632507027,13.35636238689899
BAT,main,hour,20,208,7.742688603605004,10.932000853622572,-2.477872086419082
M2,main,hour,20,208,10.220560690024087,15.155135706699808,0.0
B0,main,hour,21,208,21.317307692307693,40.784023078425435,12.476341741416
BAT,main,hour,21,208,5.770068789827862,8.606361012704742,-3.070897161063831
M2,main,hour,21,208,8.840965950891693,13.756940178120766,0.0
B0,main,hour,22,208,20.716346153846153,38.90181180277419,12.287138527497707
BAT,main,hour,22,208,5.627121066108296,8.04778804401102,-2.8020865602401503
M2,main,hour,22,208,8.429207626348447,13.863397686859628,0.0
B0,main,hour,23,208,19.033653846153847,35.407585562766286,11.083251858238715
BAT,main,hour,23,208,5.494947423951948,8.222456837682545,-2.455454563963184
M2,main,hour,23,208,7.950401987915132,12.224414275616695,0.0
B0,main,optype,k0,1394,34.31922525107604,66.46621886072143,29.912018864818386
BAT,main,optype,k0,1394,1.6660652759205288,2.0532341170994712,-2.7411411103371286
M2,main,optype,k0,1394,4.407206386257657,5.979952626882575,0.0
B0,main,optype,k1,550,7.974545454545455,17.52390574978286,2.1650596313401733
BAT,main,optype,k1,550,5.199083737923856,7.685642539400725,-0.6104020852814251
M2,main,optype,k1,550,5.809485823205281,10.097629984212716,0.0
B0,main,optype,k2,768,20.545572916666668,41.81975522505283,3.4669737238604483
BAT,main,optype,k2,768,13.753342476954893,21.56837488810735,-3.325256715851326
M2,main,optype,k2,768,17.07859919280622,23.229986234863425,0.0
B0,main,optype,k3,2304,28.917100694444443,51.946950604278335,13.332687518923855
BAT,main,optype,k3,2304,10.19149102022299,13.279247746423914,-5.392922155297597
M2,main,optype,k3,2304,15.584413175520588,21.38390766520117,0.0
B0,main,regime,k0,1394,34.31922525107604,66.46621886072143,29.912018864818386
BAT,main,regime,k0,1394,1.6660652759205288,2.0532341170994712,-2.7411411103371286
M2,main,regime,k0,1394,4.407206386257657,5.979952626882575,0.0
B0,main,regime,k1_off,378,3.748677248677249,7.328461585240739,0.41877934750889123
BAT,main,regime,k1_off,378,4.058378537183907,6.568755418214138,0.7284806360155498
M2,main,regime,k1_off,378,3.3298979011683576,5.949296119670515,0.0
B0,main,regime,k1_on,172,17.261627906976745,29.39278902233723,6.002815138829849
BAT,main,regime,k1_on,172,7.705982376759324,9.698313997726991,-3.5528303913875723
M2,main,regime,k1_on,172,11.258812768146896,15.75617140463749,0.0
B0,main,regime,k2_off,268,6.17910447761194,15.516962312353055,-9.24146917917973
BAT,main,regime,k2_off,268,9.287400748425613,19.778266787310066,-6.133172908366056
M2,main,regime,k2_off,268,15.42057365679167,20.100401004568514,0.0
B0,main,regime,k2_on,500,28.246,50.56918033743478,10.278699119889982
BAT,main,regime,k2_on,500,16.147087243446588,22.469241484999998,-1.8202136366634285
M2,main,regime,k2_on,500,17.967300880110017,24.745042967695092,0.0
B0,main,regime,k3_off,108,29.194444444444443,44.74505973144265,10.535895268992824
BAT,main,regime,k3_off,108,8.0031529825947,10.892326151123388,-10.655396192856918
M2,main,regime,k3_off,108,18.65854917545162,24.588978092421435,0.0
B0,main,regime,k3_on,2196,28.903460837887067,52.27555022363677,13.470234678756533
BAT,main,regime,k3_on,2196,10.29911420240143,13.385660677737102,-5.134111956729104
M2,main,regime,k3_on,2196,15.433226159130534,21.21379187910066,0.0
B0,main,tou,0,2574,18.254856254856254,38.03374365699039,8.823840689211602
BAT,main,tou,0,2574,6.0322325754874,11.753413662006116,-3.398782990157251
M2,main,tou,0,2574,9.431015565644651,15.071954581467855,0.0
B0,main,tou,1,1578,28.38276299112801,53.076576193561365,16.628138554454438
BAT,main,tou,1,1578,8.462134821412228,12.179051457622798,-3.2924896152613474
M2,main,tou,1,1578,11.754624436673575,17.790196282733636,0.0
B0,main,tou,2,864,49.60069444444444,81.3573578474985,31.617495816388367
BAT,main,tou,2,864,11.974002298487735,15.674462196357135,-6.009196329568342
M2,main,tou,2,864,17.983198628056076,23.809062002226245,0.0
B0,main,daytype,sat,742,9.132075471698114,20.491336674463174,
B0,main,daytype,sun,722,1.7105263157894737,2.4616167018249615,
B0,main,daytype,wk,3552,35.64752252252252,61.81329050360353,
B0,main,production,0,2148,25.170856610800744,54.837719793079316,
B0,main,production,q1,696,23.94683908045977,39.69924649680134,
B0,main,production,q2,696,18.23132183908046,34.711350788513236,
B0,main,production,q3,652,35.05368098159509,61.37335456292697,
B0,main,production,q4,824,34.40898058252427,60.70886877197446,
B0,main,temperature,q2,196,15.938775510204081,30.295652008369863,
B0,main,temperature,q3,2152,20.6296468401487,40.066377314127955,
B0,main,temperature,q4,2668,32.65067466266866,61.99211029744378,
BAT,main,daytype,sat,742,4.379351734433915,6.717113057963267,
BAT,main,daytype,sun,722,1.4847449618675717,2.032343320303758,
BAT,main,daytype,wk,3552,9.82665780798652,14.679929780514069,
BAT,main,production,0,2148,3.356576352135487,8.068507597402075,
BAT,main,production,q1,696,9.63421777236993,15.505795293651449,
BAT,main,production,q2,696,8.135450345114258,10.631710145420048,
BAT,main,production,q3,652,11.949677229489824,15.413663211756319,
BAT,main,production,q4,824,14.389500989809566,17.803148600284327,
BAT,main,temperature,q2,196,5.799352248830493,8.091219146200887,
BAT,main,temperature,q3,2152,7.974568937097458,13.692812613193121,
BAT,main,temperature,q4,2668,7.844005993246612,12.021988088041928,
M2,main,daytype,sat,742,5.2704478432312145,8.95522117198722,
M2,main,daytype,sun,722,2.1365408419128378,3.0273986919781017,
M2,main,daytype,wk,3552,14.895399846323777,20.603212306731557,
M2,main,production,0,2148,6.30827940412186,10.499754235791805,
M2,main,production,q1,696,13.60298308095578,19.131397417386662,
M2,main,production,q2,696,11.44211566149,16.778011164065468,
M2,main,production,q3,652,18.051625826484337,23.953900298623687,
M2,main,production,q4,824,18.944759851962232,24.935221286881177,
M2,main,temperature,q2,196,9.160493542754454,15.034940638107203,
M2,main,temperature,q3,2152,12.399871184006146,18.418013956391253,
M2,main,temperature,q4,2668,11.200050794347671,17.31190854644573,
