model,C,fold,n_days,n_events,base_rate,tp,fp,fn,precision,recall,f1,f2,auc,brier,p_star_mean
B0,C50,all,51,31,0.6078431372549019,26,7,5,0.7878787878787878,0.8387096774193549,0.8125,0.8280254777070064,0.7709677419354839,0.21748957431963672,0.7882472190513422
B0,C50,f1,12,8,0.6666666666666666,8,0,0,1.0,1.0,1.0,1.0,1.0,0.09489785836282744,0.666698260943415
B0,C50,f2,13,7,0.5384615384615384,7,2,0,0.7777777777777778,1.0,0.875,0.9459459459459459,0.8333333333333334,0.15383942343239362,0.9999781245616488
B0,C50,f3,14,6,0.42857142857142855,1,3,5,0.25,0.16666666666666666,0.2,0.17857142857142858,0.3958333333333333,0.49670223413790826,0.8002845763273617
B0,C50,f4,12,10,0.8333333333333334,10,2,0,0.8333333333333334,1.0,0.9090909090909091,0.9615384615384616,0.95,0.08328751728297577,0.6663774460344145
B0,C75,all,51,21,0.4117647058823529,11,15,10,0.4230769230769231,0.5238095238095238,0.46808510638297873,0.5,0.6365079365079365,0.3409567348646739,0.4785640500011426
B0,C75,f1,12,8,0.6666666666666666,2,4,6,0.3333333333333333,0.25,0.2857142857142857,0.2631578947368421,0.125,0.6229731975626298,0.16699021850734094
B0,C75,f2,13,7,0.5384615384615384,7,2,0,0.7777777777777778,1.0,0.875,0.9459459459459459,0.8333333333333334,0.15358607296274765,0.3996721232057193
B0,C75,f3,14,4,0.2857142857142857,0,3,4,0.0,0.0,0.0,0.0,0.35,0.4225307798944213,0.8002845763273617
B0,C75,f4,12,2,0.16666666666666666,2,6,0,0.25,1.0,0.4,0.625,0.7,0.16675543669243276,0.5002635214760636
B0,C90,all,51,13,0.2549019607843137,2,17,11,0.10526315789473684,0.15384615384615385,0.125,0.14084507042253522,0.5040485829959515,0.2828850673321685,0.2126443614032119
B0,C90,f1,12,4,0.3333333333333333,0,6,4,0.0,0.0,0.0,0.0,0.125,0.345961563581111,0.16699021850734094
B0,C90,f2,13,7,0.5384615384615384,2,0,5,1.0,0.2857142857142857,0.4444444444444444,0.3333333333333333,0.8809523809523809,0.48985300767355366,0.1669902185073411
B0,C90,f3,14,2,0.14285714285714285,0,3,2,0.0,0.0,0.0,0.0,0.375,0.26317243626697395,0.333301739056585
B0,C90,f4,12,0,0.0,0,8,0,0.0,NaN,NaN,NaN,NaN,0.01859137195611905,0.16699021850734108
M2,C50,all,51,31,0.6078431372549019,28,1,3,0.9655172413793104,0.9032258064516129,0.9333333333333333,0.9150326797385621,0.9870967741935484,0.019723904488173762,0.9242735420990935
M2,C50,f1,12,8,0.6666666666666666,8,0,0,1.0,1.0,1.0,1.0,1.0,6.357778273377456e-9,0.9462625326096173
M2,C50,f2,13,7,0.5384615384615384,7,0,0,1.0,1.0,1.0,1.0,1.0,3.377500308333767e-11,0.7545067187821067
M2,C50,f3,14,6,0.42857142857142855,4,1,2,0.8,0.6666666666666666,0.7272727272727273,0.6896551724137931,0.8958333333333334,0.07184986149880826,0.9992473955484608
M2,C50,f4,12,10,0.8333333333333334,9,0,1,1.0,0.9,0.9473684210526315,0.9183673469387755,1.0,1.7492650943269684e-6,0.9987291144910446
M2,C75,all,51,21,0.4117647058823529,13,3,8,0.8125,0.6190476190476191,0.7027027027027027,0.65,0.8936507936507937,0.18320442002840404,0.8392861187079643
M2,C75,f1,12,8,0.6666666666666666,5,0,3,1.0,0.625,0.7692307692307693,0.6756756756756757,1.0,0.1697445397936792,0.9303689199671523
M2,C75,f2,13,7,0.5384615384615384,7,0,0,1.0,1.0,1.0,1.0,1.0,0.000012669599290595871,0.7545067187821067
M2,C75,f3,14,4,0.2857142857142857,1,0,3,1.0,0.25,0.4,0.29411764705882354,0.825,0.28066706392692625,0.9986089944292914
M2,C75,f4,12,2,0.16666666666666666,0,3,2,0.0,0.0,0.0,0.0,0.45,0.28141561201305904,0.6541709790269071
M2,C90,all,51,13,0.2549019607843137,4,8,9,0.3333333333333333,0.3076923076923077,0.32,0.3125,0.694331983805668,0.24062007335987076,0.38397351825470816
M2,C90,f1,12,4,0.3333333333333333,3,3,1,0.5,0.75,0.6,0.6818181818181818,0.6875,0.23920356187165584,0.1655594024625064
M2,C90,f2,13,7,0.5384615384615384,1,0,6,1.0,0.14285714285714285,0.25,0.1724137931034483,1.0,0.4039357902078798,0.14359538374186973
M2,C90,f3,14,2,0.14285714285714285,0,0,2,NaN,0.0,0.0,0.0,0.6666666666666666,0.2830228053056256,0.9986089944292914
M2,C90,f4,12,0,0.0,0,5,0,0.0,NaN,NaN,NaN,NaN,0.015641370992695178,0.14572255756547178
BAT,C50,all,51,31,0.6078431372549019,29,1,2,0.9666666666666667,0.9354838709677419,0.9508196721311475,0.9415584415584416,0.9758064516129032,0.019604747282907904,0.9986109128649096
BAT,C50,f1,12,8,0.6666666666666666,8,0,0,1.0,1.0,1.0,1.0,1.0,1.1093830621260501e-7,0.9972769748129218
BAT,C50,f2,13,7,0.5384615384615384,7,0,0,1.0,1.0,1.0,1.0,1.0,1.8115495925564503e-9,0.9984728016176234
BAT,C50,f3,14,6,0.42857142857142855,6,1,0,0.8571428571428571,1.0,0.9230769230769231,0.967741935483871,0.9791666666666666,0.0714160902988168,0.998905063333242
BAT,C50,f4,12,10,0.8333333333333334,8,0,2,1.0,0.8,0.8888888888888888,0.8333333333333334,1.0,1.2910362540556698e-6,0.9997512958884022
BAT,C75,all,51,21,0.4117647058823529,20,6,1,0.7692307692307693,0.9523809523809523,0.851063829787234,0.9090909090909091,0.8634920634920635,0.21121251947171507,0.8119893399543853
BAT,C75,f1,12,8,0.6666666666666666,8,0,0,1.0,1.0,1.0,1.0,1.0,0.2514183034775606,0.3314746253661514
BAT,C75,f2,13,7,0.5384615384615384,7,0,0,1.0,1.0,1.0,1.0,1.0,1.6073070120967402e-7,0.9974833650230406
BAT,C75,f3,14,4,0.2857142857142857,4,3,0,0.5714285714285714,1.0,0.7272727272727273,0.8695652173913043,1.0,0.21393488152410842,0.996776918286354
BAT,C75,f4,12,2,0.16666666666666666,1,3,1,0.25,0.5,0.3333333333333333,0.4166666666666667,0.6,0.39664403504084245,0.8759666859976122
BAT,C90,all,51,13,0.2549019607843137,10,14,3,0.4166666666666667,0.7692307692307693,0.5405405405405406,0.6578947368421053,0.7995951417004049,0.23308284418444242,0.45303285618832845
BAT,C90,f1,12,4,0.3333333333333333,1,3,3,0.25,0.25,0.25,0.25,0.59375,0.22484634509503718,0.3314746253661514
BAT,C90,f2,13,7,0.5384615384615384,7,0,0,1.0,1.0,1.0,1.0,1.0,0.2965995177063907,0.21397585868394214
BAT,C90,f3,14,2,0.14285714285714285,2,5,0,0.2857142857142857,1.0,0.4444444444444444,0.6666666666666666,0.9166666666666666,0.3558238918190185,0.9950031222608594
BAT,C90,f4,12,0,0.0,0,6,0,0.0,NaN,NaN,NaN,NaN,0.0293117247180651,0.20127085722230484
always_alarm,C50,all,51,31,0.6078431372549019,31,20,0,0.6078431372549019,1.0,0.7560975609756098,0.8857142857142857,0.5,0.39215686274509803,0.0
always_alarm,C50,f1,12,8,0.6666666666666666,8,4,0,0.6666666666666666,1.0,0.8,0.9090909090909091,0.5,0.3333333333333333,0.0
always_alarm,C50,f2,13,7,0.5384615384615384,7,6,0,0.5384615384615384,1.0,0.7,0.8536585365853658,0.5,0.46153846153846156,0.0
always_alarm,C50,f3,14,6,0.42857142857142855,6,8,0,0.42857142857142855,1.0,0.6,0.7894736842105263,0.5,0.5714285714285714,0.0
always_alarm,C50,f4,12,10,0.8333333333333334,10,2,0,0.8333333333333334,1.0,0.9090909090909091,0.9615384615384616,0.5,0.16666666666666666,0.0
always_alarm,C75,all,51,21,0.4117647058823529,21,30,0,0.4117647058823529,1.0,0.5833333333333334,0.7777777777777778,0.5,0.5882352941176471,0.0
always_alarm,C75,f1,12,8,0.6666666666666666,8,4,0,0.6666666666666666,1.0,0.8,0.9090909090909091,0.5,0.3333333333333333,0.0
always_alarm,C75,f2,13,7,0.5384615384615384,7,6,0,0.5384615384615384,1.0,0.7,0.8536585365853658,0.5,0.46153846153846156,0.0
always_alarm,C75,f3,14,4,0.2857142857142857,4,10,0,0.2857142857142857,1.0,0.4444444444444444,0.6666666666666666,0.5,0.7142857142857143,0.0
always_alarm,C75,f4,12,2,0.16666666666666666,2,10,0,0.16666666666666666,1.0,0.2857142857142857,0.5,0.5,0.8333333333333334,0.0
always_alarm,C90,all,51,13,0.2549019607843137,13,38,0,0.2549019607843137,1.0,0.40625,0.6310679611650486,0.5,0.7450980392156863,0.0
always_alarm,C90,f1,12,4,0.3333333333333333,4,8,0,0.3333333333333333,1.0,0.5,0.7142857142857143,0.5,0.6666666666666666,0.0
always_alarm,C90,f2,13,7,0.5384615384615384,7,6,0,0.5384615384615384,1.0,0.7,0.8536585365853658,0.5,0.46153846153846156,0.0
always_alarm,C90,f3,14,2,0.14285714285714285,2,12,0,0.14285714285714285,1.0,0.25,0.45454545454545453,0.5,0.8571428571428571,0.0
always_alarm,C90,f4,12,0,0.0,0,12,0,0.0,NaN,NaN,NaN,NaN,1.0,0.0
