rho,w,n_days,n_recommended,labor_index_all,d_cost_won_per_day_all,labor_index_robust,d_cost_won_per_day_robust
0.1,0.0,39,10,0.9993501516022724,-1077.6462450571162,0.9997467622588327,-397.8709181484431
0.1,0.5,39,9,0.9989899727703021,-1079.5346354550522,0.9994311608340238,-381.2578531709776
0.1,2.0,39,6,0.9978291253268413,-1129.0130823162403,0.9992129846023797,-261.53806349965805
0.1,10.0,39,4,0.9951963905812923,-1188.6384320247598,0.9999067116193981,-115.80463531283436
0.2,0.0,39,10,0.9993501516022724,-1078.9363947909665,0.9997467622588327,-397.8709181484431
0.2,0.5,39,9,0.9989899727703021,-1080.8247851889028,0.9994311608340238,-381.2578531709776
0.2,2.0,39,6,0.9976069073902055,-1131.546610344274,0.9989907666657438,-262.78144179384134
0.2,10.0,39,4,0.9946364002474588,-1203.2216149302044,0.9999067116193981,-115.80463531283436
0.3,0.0,39,10,0.9993501516022724,-1078.9363947909665,0.9997467622588327,-397.8709181484431
0.3,0.5,39,9,0.9989899727703021,-1080.8247851889028,0.9994311608340238,-381.2578531709776
0.3,2.0,39,6,0.9976069073902055,-1131.546610344274,0.9989907666657438,-262.78144179384134
0.3,10.0,39,4,0.9946364002474588,-1203.2216149302044,0.9999067116193981,-115.80463531283436
