fold,date,weekday,kind,month,obs_peak,ratchet_floor,could_move_ratchet,rho,w,peak_before,peak_after,moved,moved_frac,labor_before,labor_after,P_robust,recommended,dkW_median,dkW_lo90,dkW_hi90,d_energy_won,d_demand_equiv_won,d_total_won,d_total_mean_won
f1,2021-07-07,2,3,7,187.0,222.0,false,0.1,0.0,173.4354413743893,173.43589549800217,5.000000000000728,0.00025763899623850817,23517.0,23516.317242825007,0.0,false,-0.0004994060880676443,-0.0008684660477911166,-0.0002460039236495959,-14.525313271082258,0.13850195509076002,-14.374800001262763,-14.945229042723993
f1,2021-07-07,2,3,7,187.0,222.0,false,0.1,0.5,173.4354413743893,173.43588466801333,5.009549802837174,0.00025813107656191966,23517.0,23516.341869529428,0.0,false,-0.0004854017638251662,-0.0008459713827164705,-0.00024006844286645905,-14.330262174206148,0.13461808916751275,-14.183215162793072,-14.780523758265296
f1,2021-07-07,2,3,7,187.0,222.0,false,0.1,2.0,173.4354413743893,173.43586625583453,5.000000000000664,0.00025763899623850486,23517.0,23516.354605268672,0.0,false,-0.0004668343253797502,-0.0008162516204208714,-0.00022998032505938681,-14.57142301354859,0.12946871957198405,-14.43070444606654,-14.994040664690164
f1,2021-07-07,2,3,7,187.0,222.0,false,0.1,10.0,173.4354413743893,173.43578817597023,5.000000000000959,0.0002576389962385201,23517.0,23516.465145196948,0.0,false,-0.00038019447578108156,-0.0006705465069671845,-0.0001926849110546415,-14.295731189197781,0.10544060128328661,-14.180756451274076,-14.780329749623586
f1,2021-07-07,2,3,7,187.0,222.0,false,0.2,0.0,173.4354413743893,173.43589549800217,5.000000000000728,0.00025763899623850817,23517.0,23516.317242825007,0.0,false,-0.0004994060880676443,-0.0008684660477911166,-0.0002460039236495959,-14.525313271082258,0.13850195509076002,-14.374800001262763,-14.945229042723993
f1,2021-07-07,2,3,7,187.0,222.0,false,0.2,0.5,173.4354413743893,173.43588466801333,5.009549802837174,0.00025813107656191966,23517.0,23516.341869529428,0.0,false,-0.0004854017638251662,-0.0008459713827164705,-0.00024006844286645905,-14.330262174206148,0.13461808916751275,-14.183215162793072,-14.780523758265296
f1,2021-07-07,2,3,7,187.0,222.0,false,0.2,2.0,173.4354413743893,173.43586625583453,5.000000000000664,0.00025763899623850486,23517.0,23516.354605268672,0.0,false,-0.0004668343253797502,-0.0008162516204208714,-0.00022998032505938681,-14.57142301354859,0.12946871957198405,-14.43070444606654,-14.994040664690164
f1,2021-07-07,2,3,7,187.0,222.0,false,0.2,10.0,173.4354413743893,173.43578817597023,5.000000000000959,0.0002576389962385201,23517.0,23516.465145196948,0.0,false,-0.00038019447578108156,-0.0006705465069671845,-0.0001926849110546415,-14.295731189197781,0.10544060128328661,-14.180756451274076,-14.780329749623586
f1,2021-07-07,2,3,7,187.0,222.0,false,0.3,0.0,173.4354413743893,173.43589549800217,5.000000000000728,0.00025763899623850817,23517.0,23516.317242825007,0.0,false,-0.0004994060880676443,-0.0008684660477911166,-0.0002460039236495959,-14.525313271082258,0.13850195509076002,-14.374800001262763,-14.945229042723993
f1,2021-07-07,2,3,7,187.0,222.0,false,0.3,0.5,173.4354413743893,173.43588466801333,5.009549802837174,0.00025813107656191966,23517.0,23516.341869529428,0.0,false,-0.0004854017638251662,-0.0008459713827164705,-0.00024006844286645905,-14.330262174206148,0.13461808916751275,-14.183215162793072,-14.780523758265296
f1,2021-07-07,2,3,7,187.0,222.0,false,0.3,2.0,173.4354413743893,173.43586625583453,5.000000000000664,0.00025763899623850486,23517.0,23516.354605268672,0.0,false,-0.0004668343253797502,-0.0008162516204208714,-0.00022998032505938681,-14.57142301354859,0.12946871957198405,-14.43070444606654,-14.994040664690164
f1,2021-07-07,2,3,7,187.0,222.0,false,0.3,10.0,173.4354413743893,173.43578817597023,5.000000000000959,0.0002576389962385201,23517.0,23516.465145196948,0.0,false,-0.00038019447578108156,-0.0006705465069671845,-0.0001926849110546415,-14.295731189197781,0.10544060128328661,-14.180756451274076,-14.780329749623586
f1,2021-07-08,3,3,7,201.0,222.0,false,0.1,0.0,173.41298150785525,173.4149400326994,32.000000000002125,0.0016394282493981313,25537.5,25529.392639664824,0.0,false,-0.004826126978969114,-0.011406853115232707,-0.0013463377024109512,-1019.5127750897981,1.3384458821674343,-1017.7751944834638,-1044.372672495973
f1,2021-07-08,3,3,7,201.0,222.0,false,0.1,0.5,173.41298150785525,173.41492715475306,32.000000000001755,0.0016394282493981123,25537.5,25529.45546764895,0.0,false,-0.004792020743565217,-0.011277133434049347,-0.001337258405958155,-1019.6131547434835,1.3289870862154203,-1017.8969374172025,-1044.489998073007
f1,2021-07-08,3,3,7,201.0,222.0,false,0.1,2.0,173.41298150785525,173.41489663458108,32.00000000000095,0.0016394282493980713,25537.5,25529.61223531703,0.0,false,-0.004707520897142103,-0.010920191064400342,-0.0013153730772785385,-1019.9099214988757,1.3055524621407433,-1018.2531121571378,-1044.8325780023165
