fold,date,kind,sigma,plan,n_candidates,labor_index,chosen,P_robust,recommended,dkW_median,dkW_lo90,dkW_hi90,d_energy_won,d_demand_equiv_won,d_total_won,d_total_mean_won
f1,2021-07-07,3,0.05,move09to08,3,1.0423098184292214,false,0.511,false,0.0016297769024191666,-0.10402059289282875,0.20124594789261457,-1300.6508086103659,-0.4519914609375822,-1308.4399802337844,-1326.1439571816493
f1,2021-07-07,3,0.05,move16to17,3,1.0,false,0.813,false,0.9070951032519616,-0.0641387252054102,7.702266335648381,-3710.531042844443,-251.56770863521066,-4265.858749451487,-4429.323041390132
f1,2021-07-07,3,0.05,move22to23,3,1.0,false,0.516,false,0.0018824515367015238,-0.09954000103381445,0.11897391529373919,-3323.094488701246,-0.5220665595118892,-3317.51029789481,-3337.755164996837
f1,2021-07-07,3,0.1,move09to08,3,1.0423098184292214,false,0.545,false,0.013403683108691666,-0.198752879425426,0.34007436267305696,-1319.359230503239,-3.7172881154771553,-1332.5317714992996,-1333.4703733903402
f1,2021-07-07,3,0.1,move16to17,3,1.0,false,0.805,false,0.9148540218244392,-0.13511771569052797,7.690262453409574,-3769.01979306686,-253.7195153859778,-4285.146587474379,-4435.644940029977
f1,2021-07-07,3,0.1,move22to23,3,1.0,false,0.474,false,-0.008808211866053739,-0.2061373174961986,0.1951991059876164,-3321.0746068948038,2.4428107575189033,-3329.0690051778543,-3336.7466478620045
f1,2021-07-07,3,0.2,move09to08,3,1.0423098184292214,false,0.522,false,0.014314911365715943,-0.4331288348491711,0.5224902547038777,-1315.5861950647395,-3.9700020854252216,-1313.1011398308206,-1314.4624584014632
f1,2021-07-07,3,0.2,move16to17,3,1.0,false,0.792,false,0.9828677027916797,-0.2866014502184214,7.7312699853334195,-3831.2590527803372,-272.58197624089246,-4268.207791928064,-4434.255253783628
f1,2021-07-07,3,0.2,move22to23,3,1.0,false,0.464,false,-0.021371071329923552,-0.4405546935213991,0.3748468013749742,-3340.090177744345,5.926910448832132,-3333.1813731854927,-3331.6635696058815
f1,2021-07-08,3,0.05,shift+1,4,0.99071953010279,false,0.664,false,0.6273868905361724,-2.5217158404170843,5.66602658724838,2963.8473914023043,-173.9952976420318,2715.52237613148,2608.9170447893457
f1,2021-07-08,3,0.05,move09to08,4,1.0101027900146844,false,0.504,false,0.0006602350268138935,-0.09647662618909719,0.12189730437765434,-1239.885146869773,-0.18310518076971977,-1250.618294103371,-1264.478513348781
f1,2021-07-08,3,0.05,move10to09,4,1.0,false,0.556,false,0.00668750249526795,-0.10149068020323142,0.5768080713352134,-1286.276007874052,-1.8546673586876445,-1354.1899642170522,-1370.1243114655304
f1,2021-07-08,3,0.05,move16to17,4,1.0,false,0.778,false,0.45804243882960805,-0.07669848573464293,7.238903580241325,-3504.0820033738573,-127.03043636874463,-4023.645151109925,-4162.214294992693
f1,2021-07-08,3,0.1,shift+1,4,0.99071953010279,false,0.681,false,0.6176762488533285,-2.4598732576117697,5.665329336888471,2971.01226885899,-171.3022130153231,2700.777435356744,2608.7613121262957
f1,2021-07-08,3,0.1,move09to08,4,1.0101027900146844,false,0.514,false,0.0025032578253387783,-0.201046566915781,0.24574083126256163,-1248.897776182433,-0.6942368368939544,-1252.9021075640628,-1262.2516631834847
f1,2021-07-08,3,0.1,move10to09,4,1.0,false,0.507,false,0.0025192797064192973,-0.21407332716604371,0.5992921724886415,-1309.1518866528995,-0.698680238580285,-1352.7595487875615,-1363.1371969663635
f1,2021-07-08,3,0.1,move16to17,4,1.0,false,0.75,false,0.4910929649024922,-0.17168744335649677,7.299654750708548,-3539.6979918914994,-136.19644893295782,-4029.0753259393514,-4162.084927467659
f1,2021-07-08,3,0.2,shift+1,4,0.99071953010279,false,0.684,false,0.6015754744362027,-2.6020513013771294,5.7323557144886585,2967.866283441053,-166.83693157697354,2701.190303332653,2595.9414191010624
f1,2021-07-08,3,0.2,move09to08,4,1.0101027900146844,false,0.519,false,0.010231402318680693,-0.40120108425646916,0.4837540226644429,-1250.9364006362048,-2.837508909714112,-1260.868390235103,-1265.7163652681536
f1,2021-07-08,3,0.2,move10to09,4,1.0,false,0.516,false,0.01248355956252567,-0.41482072854241636,0.6503462304100905,-1336.2680471483734,-3.462107185340452,-1349.2323534813286,-1361.4153317323262
f1,2021-07-08,3,0.2,move16to17,4,1.0,false,0.766,false,0.519838386924377,-0.33355870179610464,7.33730337386329,-3622.7057287593598,-144.16851264036055,-4000.9533717907434,-4165.742646074683
f1,2021-07-09,2,0.05,move09to08,3,1.0144048135022818,false,0.595,false,0.029403208491132204,-0.5072158964337362,4.7438886777070115,-2366.235386386611,-8.154489821540665,-2436.6415746741595,-2576.7438421309516
f1,2021-07-09,2,0.05,move10to09,3,1.0,false,0.828,false,2.813322604834511,-0.21631498238049288,9.973469474730608,-3203.826934574742,-780.228135740771,-4053.327803703998,-4255.177184771188
f1,2021-07-09,2,0.05,move16to17,3,1.0,false,0.5,false,0.00010229448820098241,-0.1243061601539452,0.13369352690880865,-2965.261228504628,-0.02836967139440579,-2978.7060150945863,-3165.651414666076
f1,2021-07-09,2,0.1,move09to08,3,1.0144048135022818,false,0.589,false,0.05223514481336622,-0.5352759440628688,4.6977931562164255,-2333.5689931862153,-14.486546828240229,-2444.0543022402608,-2572.4613560444323
f1,2021-07-09,2,0.1,move10to09,3,1.0,false,0.846,false,2.8213974488282787,-0.26887135253121097,9.943209610840867,-3240.8063921782446,-782.4675591417092,-4060.6317593943286,-4256.593058619165
f1,2021-07-09,2,0.1,move16to17,3,1.0,false,0.496,false,-0.0019262686997478795,-0.22306409418386863,0.2571431993658677,-2960.436629932763,0.5342185193967453,-2984.792872611981,-3168.40181475802
