fold,variant,model,date,usable_peak,n_obs,M_true,M_hat_median,M_hat_mean,peak_slot_true,peak_time_mode,C50,C75,C90,risk_raw_C50,risk_raw_C75,risk_raw_C90,risk_platt_C50,risk_platt_C75,risk_platt_C90,event_C50,event_C75,event_C90,calibration_status_platt_C50,calibration_status_platt_C75,calibration_status_platt_C90,n_cal_platt_C50,n_cal_platt_C75,n_cal_platt_C90,isotonic_status
f1,main,B0,2021.06.20,true,96,28.0,25.0,25.0,60,11,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.06.27,true,96,31.0,28.0,28.0,49,60,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.01,true,96,206.0,172.0,172.0,55,41,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.02,true,96,187.0,206.0,206.0,36,55,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.03,true,96,112.0,187.0,187.0,16,36,181.0,189.5,198.0,1.0,0.0,0.0,0.666698260943415,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.04,true,96,28.0,31.0,31.0,33,49,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.05,true,96,185.0,187.0,187.0,43,36,181.0,189.5,198.0,1.0,0.0,0.0,0.666698260943415,0.16699021850734097,0.16699021850734097,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.06.20,true,96,28.0,110.23980896878892,108.00232312395713,60,25,181.0,189.5,198.0,0.1372791592303704,0.031794534118865125,0.0004100804481270434,0.03978228042669643,0.0001347395660575154,0.0001347395660575154,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.06.27,true,96,31.0,112.16214842217254,109.34804151789828,49,24,181.0,189.5,198.0,0.05118601660684899,0.027071538092403584,0.002170062192813653,1.7440366739582114e-6,1.7440366739582114e-6,1.7440366739582114e-6,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.01,true,96,206.0,170.7111794729749,154.67867869304112,55,35,181.0,189.5,198.0,0.6197517025720383,0.13230456369882598,0.008798523421326122,0.9999999906492913,0.9303689199671522,0.16555940246250636,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.02,true,96,187.0,170.00911345855192,170.68666910908496,36,44,181.0,189.5,198.0,0.4946875394328339,0.06836356327351821,0.08284181461395475,0.9999989211720457,0.05277241070362341,0.05277241070362341,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.03,true,96,112.0,110.44173207483205,105.56208709002163,16,7,181.0,189.5,198.0,0.06442526183049897,0.011852104666220062,0.0005306286311130634,0.000016942924991176432,7.114808680427916e-8,7.114808680427916e-8,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.04,true,96,28.0,111.32225841017713,106.5565489599604,33,89,181.0,189.5,198.0,0.029453211575101414,0.010060722525576325,0.002223533481476105,8.207536236924503e-9,8.207536236924503e-9,8.207536236924503e-9,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.05,true,96,185.0,179.97462987019367,176.06808625148284,43,46,181.0,189.5,198.0,0.23355581059813965,0.016180876124450645,0.01032979782766796,0.9462625326096172,7.577233928434525e-7,7.577233928434525e-7,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BAT,2021.06.20,true,96,28.0,63.8131085342696,63.2471474985604,60,0,181.0,189.5,198.0,0.0,0.0,0.0,7.499603971268187e-10,7.499603971268187e-10,8.256790440310581e-16,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BAT,2021.06.27,true,96,31.0,62.385564886346415,62.24574615917406,49,95,181.0,189.5,198.0,0.0,0.0,0.0,7.499603971268187e-10,7.499603971268187e-10,8.256790440310581e-16,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BAT,2021.07.01,true,96,206.0,189.36347185830073,190.94427256276725,55,34,181.0,189.5,198.0,0.638,0.496,0.371,0.9986043165006365,0.33147462536615147,0.33147462536615147,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,BAT,2021.07.02,true,96,187.0,186.59346707988877,187.6732166046184,36,34,181.0,189.5,198.0,0.587,0.451,0.322,0.997276974812922,0.2929081539440275,0.18273839994770635,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BAT,2021.07.03,true,96,112.0,123.19101397335294,123.67507579777771,16,25,181.0,189.5,198.0,0.013,0.005,0.0,0.00017158501688589134,0.00017158501688589134,8.256790440310581e-16,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BAT,2021.07.04,true,96,28.0,62.38651949876364,62.867019322475564,33,0,181.0,189.5,198.0,0.0,0.0,0.0,7.499603971268187e-10,7.499603971268187e-10,8.256790440310581e-16,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,BAT,2021.07.05,true,96,185.0,191.88187782923637,191.94564401612786,43,35,181.0,189.5,198.0,0.673,0.542,0.389,0.9991383461769798,0.37332093565287244,0.37332093565287244,1.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,B0,2021.07.11,true,96,28.0,28.0,28.0,46,33,182.0,193.0,200.2,0.0,0.0,0.0,0.00002273603092110903,0.00002273603092110903,0.00002273603092110903,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,B0,2021.07.12,true,96,198.0,185.0,185.0,34,43,182.0,193.0,200.2,1.0,0.0,0.0,0.9999781245616489,0.3996721232057194,0.16699021850734108,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,B0,2021.07.14,true,96,195.0,203.0,203.0,38,35,182.0,193.0,200.2,1.0,1.0,1.0,0.9999781245616489,0.999153122910191,0.001974879548101092,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,B0,2021.07.16,true,96,197.0,192.0,192.0,47,59,182.0,193.0,200.2,1.0,0.0,0.0,0.9999781245616489,0.3996721232057194,0.16699021850734108,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,B0,2021.07.17,true,96,110.0,106.0,106.0,5,15,182.0,193.0,200.2,0.0,0.0,0.0,0.00002273603092110903,0.00002273603092110903,0.00002273603092110903,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,B0,2021.07.18,true,96,28.0,28.0,28.0,4,46,182.0,193.0,200.2,0.0,0.0,0.0,0.00002273603092110903,0.00002273603092110903,0.00002273603092110903,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,B0,2021.07.19,true,96,222.0,198.0,198.0,45,34,182.0,193.0,200.2,1.0,1.0,0.0,0.9999781245616489,0.999153122910191,0.16699021850734108,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f2,main,M2,2021.07.11,true,96,28.0,97.95736024551674,81.04043577669876,46,59,182.0,193.0,200.2,0.010628301378259796,0.0006611001122128675,0.0017773861797841194,3.5724416643840557e-22,3.5724416643840557e-22,3.5724416643840557e-22,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,M2,2021.07.12,true,96,198.0,187.44214278489835,182.6827673070284,34,44,182.0,193.0,200.2,0.45668215424886827,0.10420434912767397,0.2981299428049883,0.9999998349748933,0.9995926528563658,0.13461110405941246,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,M2,2021.07.14,true,96,195.0,192.45971578333243,187.54193221747272,38,34,182.0,193.0,200.2,0.8483420701893697,0.5036544182657939,0.6111781102508898,1.0,0.9999984438203624,0.13020762103770137,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,M2,2021.07.16,true,96,197.0,185.3244259341527,182.54577026686155,47,59,182.0,193.0,200.2,0.583635556548532,0.4437501613752107,0.5701532456992929,0.9999999999194349,0.9999971117547815,0.13077202888277561,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,M2,2021.07.17,true,96,110.0,106.68302011258463,117.29320337972479,5,8,182.0,193.0,200.2,0.213612539346629,0.0008211943960779516,0.002046937593340506,0.227286486995825,0.0072061187726479795,0.0072061187726479795,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,M2,2021.07.18,true,96,28.0,97.95736024551674,80.96748955863153,4,46,182.0,193.0,200.2,0.010628301378259796,0.0006611001122128675,0.0017773861797841194,3.5724416643840557e-22,3.5724416643840557e-22,3.5724416643840557e-22,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,M2,2021.07.19,true,96,222.0,180.19686311971353,178.3449359273649,45,33,182.0,193.0,200.2,0.24123913506233133,0.02159090631561322,0.03174580695530462,0.7545067187821067,0.7545067187821067,0.1435953837418697,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f2,main,BAT,2021.07.11,true,96,28.0,56.36504207728294,56.994577034006085,46,0,182.0,193.0,200.2,0.0,0.0,0.0,1.6428177052488164e-11,1.6428177052488164e-11,1.6428177052488164e-11,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,BAT,2021.07.12,true,96,198.0,193.50152063066074,193.799508334964,34,34,182.0,193.0,200.2,0.748,0.515,0.333,0.9984728016176234,0.9974833650230407,0.2096764173559667,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,BAT,2021.07.14,true,96,195.0,202.27221809370184,201.8268723023275,38,35,182.0,193.0,200.2,0.877,0.687,0.542,0.999917933598468,0.9994725946410802,0.2660490873408867,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,BAT,2021.07.16,true,96,197.0,201.19510162250546,202.0954681952957,47,35,182.0,193.0,200.2,0.879,0.672,0.525,0.9999228917296669,0.9993882472195058,0.26125294568545104,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,BAT,2021.07.17,true,96,110.0,122.76493894207383,123.98566731932443,5,7,182.0,193.0,200.2,0.002,0.001,0.0,1.7080268890003694e-8,1.7080268890003694e-8,1.7080268890003694e-8,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,BAT,2021.07.18,true,96,28.0,56.62745295973548,57.0475958605372,4,0,182.0,193.0,200.2,0.0,0.0,0.0,1.6428177052488164e-11,1.6428177052488164e-11,1.6428177052488164e-11,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f2,main,BAT,2021.07.19,true,96,222.0,193.96134426379683,194.15705225605757,45,34,182.0,193.0,200.2,0.763,0.524,0.349,0.998835041660769,0.997671057831725,0.21397585868394212,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,B0,2021.07.26,true,96,217.0,222.0,222.0,33,45,184.0,197.75,210.10000000000002,1.0,1.0,1.0,0.8002845763273615,0.8002845763273615,0.7499730483083983,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,B0,2021.07.27,true,96,211.0,201.0,201.0,46,34,184.0,197.75,210.10000000000002,1.0,1.0,0.0,0.8002845763273615,0.8002845763273615,0.33330173905658506,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,B0,2021.07.28,true,96,212.0,214.0,214.0,47,39,184.0,197.75,210.10000000000002,1.0,1.0,1.0,0.8002845763273615,0.8002845763273615,0.7499730483083983,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,B0,2021.07.29,true,96,211.0,213.0,213.0,47,33,184.0,197.75,210.10000000000002,1.0,1.0,1.0,0.8002845763273615,0.8002845763273615,0.7499730483083983,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,B0,2021.07.31,true,96,28.0,104.0,104.0,73,14,184.0,197.75,210.10000000000002,0.0,0.0,0.0,0.0007426697427885545,0.0007426697427885545,0.0007426697427885545,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f3,main,B0,2021.08.01,true,96,28.0,29.0,29.0,35,8,184.0,197.75,210.10000000000002,0.0,0.0,0.0,0.0007426697427885545,0.0007426697427885545,0.0007426697427885545,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f3,main,B0,2021.08.02,true,96,26.0,217.0,217.0,13,33,184.0,197.75,210.10000000000002,1.0,1.0,1.0,0.8002845763273615,0.8002845763273615,0.7499730483083983,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f3,main,M2,2021.07.26,true,96,217.0,192.36688684645307,195.40355607558902,33,33,184.0,197.75,210.10000000000002,0.9067248968245766,0.8967796197107115,0.8563915549715221,0.999247395548461,0.9986089944292911,0.9986089944292911,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,M2,2021.07.27,true,96,211.0,201.95633549800442,203.2221305043117,46,34,184.0,197.75,210.10000000000002,0.9934097113375284,0.9048853374804532,0.9108099900131219,0.9999998228984556,0.9991677492869017,0.9991677492869017,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,M2,2021.07.28,true,96,212.0,205.4690884093455,203.04995493811623,47,34,184.0,197.75,210.10000000000002,0.9907648370901412,0.9128264975710347,0.858556207400872,0.9999995006517125,0.9995164445540962,0.9994801290126729,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,M2,2021.07.29,true,96,211.0,204.87551927549475,202.20890728978836,47,34,184.0,197.75,210.10000000000002,0.9877567626507284,0.9128264975710347,0.8967889092378015,0.9999988096915092,0.9995164445540962,0.9995164445540962,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,M2,2021.07.31,true,96,28.0,55.60276241804485,69.98795605749721,73,24,184.0,197.75,210.10000000000002,0.032648048938429375,0.09322906954738289,0.000027737712759788814,0.000042340534033380246,8.746056764446516e-9,8.808722433527763e-15,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f3,main,M2,2021.08.01,true,96,28.0,30.802308987173642,61.68563956189102,35,49,184.0,197.75,210.10000000000002,0.008930102601964628,0.005816978609578663,0.0024606616372818794,7.562952263411173e-7,7.777235593652796e-16,7.777235593652796e-16,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f3,main,M2,2021.08.02,true,96,26.0,60.559871343623826,74.78394672947499,13,46,184.0,197.75,210.10000000000002,0.06839249254352316,0.5419247355947298,0.13008625212927294,0.0004521495954321967,0.0004521495954321967,0.0004521495954321967,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f3,main,BAT,2021.07.26,true,96,217.0,199.2547817251346,199.88223079843516,33,63,184.0,197.75,210.10000000000002,0.875,0.549,0.214,0.9989050633332422,0.9967769182863537,0.9950031222608591,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,BAT,2021.07.27,true,96,211.0,204.13148556329463,204.77255074810043,46,34,184.0,197.75,210.10000000000002,0.941,0.682,0.332,0.9998922271069622,0.9991579252673142,0.9983673569929448,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,BAT,2021.07.28,true,96,212.0,206.33895429833063,206.63913857729472,47,34,184.0,197.75,210.10000000000002,0.956,0.724,0.389,0.9999548803397167,0.9994778265160644,0.998970434912525,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,BAT,2021.07.29,true,96,211.0,204.9922001390695,205.48826617165474,47,34,184.0,197.75,210.10000000000002,0.945,0.701,0.354,0.9999126113147361,0.9993183454617923,0.9986387250940795,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f3,main,BAT,2021.07.31,true,96,28.0,52.671439903402806,53.051564967682204,73,5,184.0,197.75,210.10000000000002,0.0,0.0,0.0,2.721537136203907e-10,2.721537136203907e-10,2.721537136203907e-10,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f3,main,BAT,2021.08.01,true,96,28.0,51.07698828098361,51.64318833406741,35,0,184.0,197.75,210.10000000000002,0.0,0.0,0.0,2.721537136203907e-10,2.721537136203907e-10,2.721537136203907e-10,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f3,main,BAT,2021.08.02,true,96,26.0,51.472753361629614,52.334269010189864,13,72,184.0,197.75,210.10000000000002,0.0,0.0,0.0,2.721537136203907e-10,2.721537136203907e-10,2.721537136203907e-10,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
