model,variant,fold,stratum,metric,value,n
B0,main,f1,all,mae,8.547743055555555,1152
B0,main,f1,all,rmse,15.87513670107372,1152
B0,main,f1,all,crps,NaN,0
B0,main,f1,all,cov50,NaN,0
B0,main,f1,all,cov80,NaN,0
B0,main,f1,all,cov90,NaN,0
B0,main,f1,op,mae,10.045833333333333,960
B0,main,f1,op,rmse,17.37497002395496,960
B0,main,f1,op,crps,NaN,0
B0,main,f1,op,cov50,NaN,0
B0,main,f1,op,cov80,NaN,0
B0,main,f1,op,cov90,NaN,0
B0,main,f1,nonop,mae,1.0572916666666667,192
B0,main,f1,nonop,rmse,1.6345871038277526,192
B0,main,f1,nonop,crps,NaN,0
B0,main,f1,nonop,cov50,NaN,0
B0,main,f1,nonop,cov80,NaN,0
B0,main,f1,nonop,cov90,NaN,0
B0,main,f2,all,mae,24.524839743589745,1248
B0,main,f2,all,rmse,49.75561268429667,1248
B0,main,f2,all,crps,NaN,0
B0,main,f2,all,cov50,NaN,0
B0,main,f2,all,cov80,NaN,0
B0,main,f2,all,cov90,NaN,0
B0,main,f2,op,mae,9.583333333333334,768
B0,main,f2,op,rmse,12.906212167014766,768
B0,main,f2,op,crps,NaN,0
B0,main,f2,op,cov50,NaN,0
B0,main,f2,op,cov80,NaN,0
B0,main,f2,op,cov90,NaN,0
B0,main,f2,nonop,mae,48.43125,480
B0,main,f2,nonop,rmse,78.54999734776146,480
B0,main,f2,nonop,crps,NaN,0
B0,main,f2,nonop,cov50,NaN,0
B0,main,f2,nonop,cov80,NaN,0
B0,main,f2,nonop,cov90,NaN,0
B0,main,f3,all,mae,60.763392857142854,1344
B0,main,f3,all,rmse,87.31699399587798,1344
B0,main,f3,all,crps,NaN,0
B0,main,f3,all,cov50,NaN,0
B0,main,f3,all,cov80,NaN,0
B0,main,f3,all,cov90,NaN,0
B0,main,f3,op,mae,74.95703125,768
B0,main,f3,op,rmse,95.82447196349862,768
B0,main,f3,op,crps,NaN,0
B0,main,f3,op,cov50,NaN,0
B0,main,f3,op,cov80,NaN,0
B0,main,f3,op,cov90,NaN,0
B0,main,f3,nonop,mae,41.838541666666664,576
B0,main,f3,nonop,rmse,74.47703085515695,576
B0,main,f3,nonop,crps,NaN,0
B0,main,f3,nonop,cov50,NaN,0
B0,main,f3,nonop,cov80,NaN,0
B0,main,f3,nonop,cov90,NaN,0
B0,main,f4,all,mae,9.83569182389937,1272
B0,main,f4,all,rmse,14.319166247117135,1272
B0,main,f4,all,crps,NaN,0
B0,main,f4,all,cov50,NaN,0
B0,main,f4,all,cov80,NaN,0
B0,main,f4,all,cov90,NaN,0
B0,main,f4,op,mae,10.851687388987566,1126
B0,main,f4,op,rmse,15.183571799003305,1126
B0,main,f4,op,crps,NaN,0
B0,main,f4,op,cov50,NaN,0
B0,main,f4,op,cov80,NaN,0
B0,main,f4,op,cov90,NaN,0
B0,main,f4,nonop,mae,2.0,146
B0,main,f4,nonop,rmse,2.8907030950205947,146
B0,main,f4,nonop,crps,NaN,0
B0,main,f4,nonop,cov50,NaN,0
B0,main,f4,nonop,cov80,NaN,0
B0,main,f4,nonop,cov90,NaN,0
B0,main,pooled,all,mae,26.840311004784688,5016
