fold,variant,model,date,usable_peak,n_obs,M_true,M_hat_median,M_hat_mean,peak_slot_true,peak_time_mode,C50,C75,C90,risk_raw_C50,risk_raw_C75,risk_raw_C90,risk_platt_C50,risk_platt_C75,risk_platt_C90,event_C50,event_C75,event_C90,calibration_status_platt_C50,calibration_status_platt_C75,calibration_status_platt_C90,n_cal_platt_C50,n_cal_platt_C75,n_cal_platt_C90,isotonic_status
f1,main,B0,2021.07.07,true,96,203.0,193.0,193.0,35,35,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.08,true,96,201.0,206.0,206.0,43,55,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.09,true,96,192.0,187.0,187.0,59,36,181.0,189.5,198.0,1.0,0.0,0.0,0.666698260943415,0.16699021850734097,0.16699021850734097,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.10,true,96,106.0,112.0,112.0,15,16,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.11,true,96,28.0,28.0,28.0,46,33,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.12,true,96,198.0,185.0,185.0,34,43,181.0,189.5,198.0,1.0,0.0,0.0,0.666698260943415,0.16699021850734097,0.16699021850734097,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.13,false,0,NaN,193.0,193.0,,35,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,NaN,NaN,NaN,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.14,true,96,195.0,203.0,203.0,38,35,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.15,false,0,NaN,201.0,201.0,,43,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,NaN,NaN,NaN,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.16,true,96,197.0,192.0,192.0,47,59,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.17,true,96,110.0,106.0,106.0,5,15,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.18,true,96,28.0,28.0,28.0,4,46,181.0,189.5,198.0,0.0,0.0,0.0,0.2500269516916018,0.16699021850734097,0.16699021850734097,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.19,true,96,222.0,198.0,198.0,45,34,181.0,189.5,198.0,1.0,1.0,0.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,B0,2021.07.20,true,96,201.0,222.0,222.0,34,45,181.0,189.5,198.0,1.0,1.0,1.0,0.666698260943415,0.001974879548102764,0.001974879548102764,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.07,true,96,203.0,187.31296499194104,186.58944278876902,35,44,181.0,189.5,198.0,0.7376172168705402,0.3497877917186957,0.29510928455410634,0.9999999999417083,0.9999940901036479,0.41419958667967854,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.08,true,96,201.0,190.48546334566862,189.43035095143426,43,41,181.0,189.5,198.0,0.9076344958462388,0.2828776763888519,0.030681901263707605,0.9999999999999994,0.9999395839069893,0.2318023906224712,1.0,1.0,1.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.09,true,96,192.0,187.69912360756538,186.14869067348923,59,43,181.0,189.5,198.0,0.9205976156666326,0.11534864641249463,0.032235115746223814,0.9999999999999999,0.8053011288044332,0.23480992435275333,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.10,true,96,106.0,107.87970763197211,115.63133654136675,15,25,181.0,189.5,198.0,0.023286069802591083,0.018105973539848295,0.002182578667312676,8.672379359792677e-10,8.672379359792677e-10,8.672379359792677e-10,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.11,true,96,28.0,102.21795766391519,85.95932576595375,46,59,181.0,189.5,198.0,0.008913373513280217,0.01372700652853408,0.0019746305755544554,9.868765041742931e-14,9.868765041742931e-14,9.868765041742931e-14,0.0,0.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.12,true,96,198.0,184.7489307500483,182.15049152495902,34,55,181.0,189.5,198.0,0.523650341734576,0.03751705537288501,0.03543617532887639,0.9999996335604545,0.0004866079386226173,0.0004866079386226173,1.0,1.0,0.0,ok,ok,ok,7,7,7,not_run
f1,main,M2,2021.07.13,false,0,NaN,120.27564287700731,135.0870469764778,,33,181.0,189.5,198.0,0.35485776600206814,0.0209577419000828,0.0025612491019735757,0.9997682492940341,5.45876838072227e-6,5.45876838072227e-6,NaN,NaN,NaN,ok,ok,ok,7,7,7,not_run
