model,fold,mae,rmse,crps,cov50,cov80,cov90,peak_mae,peak_hit2,brier_mean_raw
B0,f1,8.547743055555555,15.87513670107372,NaN,NaN,NaN,NaN,8.416666666666666,0.16666666666666666,0.13888888888888887
BAT,f1,10.425152664663687,17.20309827293244,9.319750951529393,0.7352430555555556,0.9010416666666666,0.9479166666666666,12.901931096795538,0.25,0.12386813888888888
M2,f1,14.769072938819514,31.827838207503504,11.130252330473017,0.3420138888888889,0.6614583333333334,0.7864583333333334,21.894735520000825,0.16666666666666666,0.2546934718372905
B0,f2,24.524839743589745,49.75561268429667,NaN,NaN,NaN,NaN,39.07692307692308,0.07692307692307693,0.20512820512820512
BAT,f2,7.134297184142208,10.953050025294322,6.68202409207008,0.78125,0.9206730769230769,0.9743589743589743,17.39666266517374,0.23076923076923078,0.06191715384615385
M2,f2,7.758021473810975,13.838948337037955,6.370040498159024,0.31330128205128205,0.5072115384615384,0.6754807692307693,25.42405908729564,0.3076923076923077,0.11702540825762078
B0,f3,60.763392857142854,87.31699399587798,NaN,NaN,NaN,NaN,100.71428571428571,0.0,0.4761904761904762
BAT,f3,6.120408838055802,10.77705234644078,5.906682294755551,0.8072916666666666,0.9270833333333334,0.9590773809523809,15.9945781432865,0.35714285714285715,0.09247909523809525
M2,f3,16.892193870578893,23.860784004599196,12.883028408690967,0.27232142857142855,0.5833333333333334,0.8020833333333334,11.585958089775245,0.07142857142857142,0.1842489097100291
B0,f4,9.83569182389937,14.319166247117135,NaN,NaN,NaN,NaN,11.166666666666666,0.16666666666666666,0.22222222222222224
BAT,f4,7.929673859699234,10.8793941546999,6.333878378232297,0.6171383647798742,0.8459119496855346,0.9205974842767296,11.207679353669114,0.16666666666666666,0.12756155555555557
M2,f4,7.046087778920187,10.439966292239427,5.374869170103702,0.455188679245283,0.7358490566037735,0.860062893081761,9.376155281514544,0.08333333333333333,0.24159624856156317
B0,pooled,26.840311004784688,52.618274534538145,NaN,NaN,NaN,NaN,42.21568627450981,0.09803921568627451,0.2679738562091503
BAT,pooled,7.820126272604957,12.607641166619722,6.991784980926687,0.7360446570972887,0.8989234449760766,0.9505582137161085,14.497961452134227,0.2549019607843137,0.10032915032679737
M2,pooled,11.635110654242562,21.459084853805614,8.956037677842893,0.344896331738437,0.6210127591706539,0.7816985645933014,17.018958255095708,0.1568627450980392,0.19718218996226908
